,hotel,price,rating,start_date,city
0,Hôtel Saint-Pétersbourg Opéra &amp; Spa,1792,8.4,2023-05-15,Paris
1,Sonder L'Edmond Parc Monceau,1630,8.4,2023-05-15,Paris
2,UCPA SPORT STATION HOSTEL PARIS,680,8.0,2023-05-15,Paris
3,Fauchon l'Hôtel Paris,4764,9.3,2023-05-15,Paris
4,Padam Hôtel,2959,nan,2023-05-15,Paris
5,Résidence Louvre - Bellan,2162,8.4,2023-05-15,Paris
6,Novotel Paris 20 Belleville,1340,8.3,2023-05-15,Paris
7,Novotel Paris Gare De Lyon,1792,8.1,2023-05-15,Paris
8,Aparthotel Adagio Paris Nation,1167,8.4,2023-05-15,Paris
9,Grand Hotel Francais,1408,8.5,2023-05-15,Paris
10,Le 123 Sébastopol - Astotel,2358,9.0,2023-05-15,Paris
11,Hôtel Korner Etoile,1313,8.3,2023-05-15,Paris
12,Hotel Minerve,1823,8.2,2023-05-15,Paris
13,"Hotel Apolonia Paris Mouffetard, Sure Hotel Collection by Best Western",1523,8.3,2023-05-15,Paris
14,citizenM Paris Gare de Lyon,1669,8.4,2023-05-15,Paris
15,Hotel Lorette - Astotel,1715,8.6,2023-05-15,Paris
16,Hotel 34B - Astotel,1842,8.8,2023-05-15,Paris
17,"The Hoxton, Paris",2897,8.7,2023-05-15,Paris
18,Hôtel Henriette,1532,8.9,2023-05-15,Paris
19,Hotel Aix Europe,800,7.0,2023-05-15,Paris
20,Hôtel d'Argenson,1444,8.4,2023-05-15,Paris
21,Residhome Paris Gare de Lyon - Jacqueline de Romilly,1153,8.2,2023-05-15,Paris
22,Hotel du Petit Moulin,2963,9.0,2023-05-15,Paris
23,Hôtel Augustin - Astotel,1806,8.6,2023-05-15,Paris
24,Hôtel Madison,3437,8.6,2023-05-15,Paris
25,Best Western Aramis Saint Germain,1736,8.1,2023-05-15,Paris
26,SO Paris Hotel,3383,9.1,2023-05-15,Paris
27,Hotel Aida Opera,1436,8.2,2023-05-15,Paris
28,Jardins Eiffel,1706,8.4,2023-05-15,Paris
29,Hotel Malte - Astotel,2740,9.1,2023-05-15,Paris
30,Hôtel des Comédies,1397,8.2,2023-05-15,Paris
31,Hôtel Duo,2513,8.2,2023-05-15,Paris
32,"Terrass"" Hotel",2455,8.8,2023-05-15,Paris
33,Austin's Saint Lazare Hotel,2387,8.1,2023-05-15,Paris
34,Korner Opera,1808,8.2,2023-05-15,Paris
35,Hôtel Bedford,2279,8.3,2023-05-15,Paris
36,Appart'City Paris La Villette,722,7.1,2023-05-15,Paris
37,Hotel Joyce - Astotel,1691,8.8,2023-05-15,Paris
38,Grand Pigalle Hotel,2036,8.8,2023-05-15,Paris
39,"Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel",1989,8.6,2023-05-15,Paris
40,Graphik Montparnasse,1161,8.4,2023-05-15,Paris
41,TRIBE Paris Batignolles,1364,8.6,2023-05-15,Paris
42,Mercure Paris Montparnasse Pasteur,1526,8.0,2023-05-15,Paris
43,Best Western Nouvel Orléans Montparnasse,1189,7.7,2023-05-15,Paris
44,Hotel Park Lane Paris,1835,8.1,2023-05-15,Paris
45,Hôtel 15 Montparnasse,1289,8.3,2023-05-15,Paris
46,Pavillon Faubourg Saint-Germain &amp; Spa,3825,8.9,2023-05-15,Paris
47,Hotel Palm - Astotel,1691,8.9,2023-05-15,Paris
48,Hotel Astoria - Astotel,1702,8.4,2023-05-15,Paris
49,Mercure Paris Bastille Marais,1582,8.0,2023-05-15,Paris
50,Hotel Beausejour,1239,7.7,2023-05-15,Paris
51,Hotel Ares Eiffel,1998,8.3,2023-05-15,Paris
52,Hôtel Square Louvois,2270,8.9,2023-05-15,Paris
53,Pullman Paris Centre - Bercy,2345,8.3,2023-05-15,Paris
54,Hotel Villa Romantic &amp; Spa,1626,9.0,2023-05-15,Paris
55,Best Western Premier Opéra Faubourg,1604,7.8,2023-05-15,Paris
56,Bradford Elysées - Astotel,2519,9.0,2023-05-15,Paris
57,Maison Souquet,2445,9.2,2023-05-15,Paris
58,Maison Albar Hotels Le Pont-Neuf,3725,8.9,2023-05-15,Paris
59,Le Pavillon des Lettres - Small Luxury Hotels of the World,2933,8.8,2023-05-15,Paris
60,Hipotel Paris Voltaire Bastille,865,7.1,2023-05-15,Paris
61,Le 123 Elysees - Astotel,2358,8.7,2023-05-15,Paris
62,Hotel Paix Republique,1419,8.2,2023-05-15,Paris
63,Hôtel Keppler,2435,9.1,2023-05-15,Paris
64,Best Western Plus La Demeure,1847,8.2,2023-05-15,Paris
65,9Confidentiel,2825,8.7,2023-05-15,Paris
66,Hôtel Dame des Arts,2956,10,2023-05-15,Paris
67,Hotel Mimosa Paris,976,7.5,2023-05-15,Paris
68,Bonsoir Madame,2399,8.9,2023-05-15,Paris
69,Hotel Joke - Astotel,1646,8.9,2023-05-15,Paris
70,Hotel Terminus Lyon,1669,7.9,2023-05-15,Paris
71,Hotel Opéra d'Antin,2129,7.8,2023-05-15,Paris
72,Hôtel Perreyve,1302,7.8,2023-05-15,Paris
73,Le Pavillon de la Reine &amp; Spa - Small Luxury Hotels of the World,4845,8.9,2023-05-15,Paris
74,Maison Albar Hotels Le Diamond,2725,8.5,2023-05-15,Paris
75,Jardin de Villiers,1117,8.1,2023-05-15,Paris
76,Hôtel La Canopée,2033,9.0,2023-05-15,Paris
77,Pullman Paris Tour Eiffel,2805,8.2,2023-05-15,Paris
78,Hôtel Regent's Garden - Astotel,2360,9.0,2023-05-15,Paris
79,Bel Oranger Gare de Lyon,1047,7.9,2023-05-15,Paris
80,Novotel Suites Paris Montreuil Vincennes,922,7.7,2023-05-15,Paris
81,Hôtel de Joséphine BONAPARTE,2759,9.2,2023-05-15,Paris
82,Hotel Best Western Anjou Lafayette,1643,8.1,2023-05-15,Paris
83,Montparnasse Daguerre,1031,8.0,2023-05-15,Paris
84,Cler Hotel,2793,8.8,2023-05-15,Paris
85,La Maison Gobert Paris Hotel Particulier,1760,9.2,2023-05-15,Paris
86,Novotel Paris Porte Versailles,1285,8.5,2023-05-15,Paris
87,"O'Lord, 4 Etoiles, Residence de Luxe Champs-Elysees",2427,9.0,2023-05-15,Paris
88,Kyriad Hotel XIII Italie Gobelins,986,8.1,2023-05-15,Paris
89,Grand Hotel Dore,1408,8.2,2023-05-15,Paris
90,Hôtel Rosalie,1747,8.6,2023-05-15,Paris
91,Hotel Le Notre Dame Saint Michel,1655,8.2,2023-05-15,Paris
92,Pick A Flat's Apartments in Batignolles - Rue Biot,1023,7.2,2023-05-15,Paris
93,Hotel Armoni Paris,1303,8.2,2023-05-15,Paris
94,La Maison Champs Elysées,3240,7.6,2023-05-15,Paris
95,Hôtel Aurore Paris Gare de Lyon,1243,7.9,2023-05-15,Paris
96,La Mondaine,1664,8.5,2023-05-15,Paris
97,Nolinski Paris,4215,9.2,2023-05-15,Paris
98,Hotel Caumartin Opéra - Astotel,1829,8.0,2023-05-15,Paris
99,Hotel Monterosa - Astotel,1599,8.6,2023-05-15,Paris
100,Hôtel Le Cercle Tour Eiffel,2745,8.6,2023-05-15,Paris
101,Austin's Arts Et Metiers Hotel,2985,8.2,2023-05-15,Paris
102,"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)",1534,7.8,2023-05-15,Paris
103,Hyatt Paris Madeleine,3699,8.4,2023-05-15,Paris
104,Dream Hôtel Opéra &amp; Spa,1839,8.2,2023-05-15,Paris
105,Hôtel Napoleon Paris,3515,8.4,2023-05-15,Paris
106,Hôtel Arvor Saint Georges,2303,8.4,2023-05-15,Paris
107,Hotel France Albion,1274,8.6,2023-05-15,Paris
108,Hotel Bloum,1727,9.0,2023-05-15,Paris
109,Hôtel Saint-Charles,1298,8.3,2023-05-15,Paris
110,HOTEL ALISON,1720,8.4,2023-05-15,Paris
111,My Home In Paris,1802,9.1,2023-05-15,Paris
112,Hôtel Le Lavoisier,1889,7.9,2023-05-15,Paris
113,citizenM Paris Champs-Élysées,2739,8.5,2023-05-15,Paris
114,Art Hotel Eiffel,1700,8.2,2023-05-15,Paris
115,Victoria Palace Hotel,2399,8.9,2023-05-15,Paris
116,Hotel Michelet Odeon,1467,7.7,2023-05-15,Paris
117,Hotel Viator - Gare de Lyon,1313,7.9,2023-05-15,Paris
118,Hotel Terminus Montparnasse,1624,7.4,2023-05-15,Paris
119,Best Western Plus Hôtel Mercedes,1836,7.9,2023-05-15,Paris
120,Hôtel Le M,1739,8.0,2023-05-15,Paris
121,Garden-Elysée,"Price €&nbsp;1,988",8.5,2023-05-15,Paris
122,Le Grand Hôtel de Normandie,2016,7.6,2023-05-15,Paris
123,Hôtel des Arts Montmartre,1829,9.5,2023-05-15,Paris
124,Hôtel Albert 1er,1437,7.8,2023-05-15,Paris
125,Hôtel Brésil Opéra,1541,8.3,2023-05-15,Paris
126,Hotel Residence Foch,2255,8.3,2023-05-15,Paris
127,Edgar Suites Expo Paris Porte de Versailles,1378,9.0,2023-05-15,Paris
128,Ibis Paris Tour Eiffel Cambronne 15ème,1167,7.5,2023-05-15,Paris
129,Hôtel Maxim Quartier Latin,1857,8.2,2023-05-15,Paris
130,Best Western Plus Hôtel Littéraire Marcel Aymé,1696,8.7,2023-05-15,Paris
131,Hôtel Beige,2279,8.8,2023-05-15,Paris
132,Appia La Fayette,1417,7.4,2023-05-15,Paris
133,Grand Hôtel du Bel Air,896,7.2,2023-05-15,Paris
134,Hôtel Baudelaire Opéra,2083,8.1,2023-05-15,Paris
135,Renaissance Paris Arc de Triomphe Hotel,3245,8.3,2023-05-15,Paris
136,Le Malown,2135,7.8,2023-05-15,Paris
137,GuestReady - Charming Studio 5 mins to Pantheon,1181,8.4,2023-05-15,Paris
138,Residence Les Boulevards,1617,7.8,2023-05-15,Paris
139,Hôtel R de Paris - Boutique Hotel,1860,8.7,2023-05-15,Paris
140,Paris Marriott Champs Elysees Hotel,3609,7.3,2023-05-15,Paris
141,Aparthotel Adagio Paris Montmartre,1287,8.5,2023-05-15,Paris
142,Hôtel Des Batignolles,1818,8.2,2023-05-15,Paris
143,ibis Paris Gare De L'Est TGV,1564,7.4,2023-05-15,Paris
144,Hotel George - Astotel,1714,8.7,2023-05-15,Paris
145,Hotel de L'Esperance,1712,8.5,2023-05-15,Paris
146,Louvre Marsollier Opera,2543,7.6,2023-05-15,Paris
147,Hôtel So Marais,1565,8.0,2023-05-15,Paris
148,Hôtel Des Deux-Iles - Notre-Dame,2593,8.8,2023-05-15,Paris
149,Mercure Paris Place d'Italie,1484,7.9,2023-05-15,Paris
150,Mercure Paris Gare Montparnasse,1295,8.0,2023-05-15,Paris
151,Atlantic Hotel,1678,8.7,2023-05-15,Paris
152,First Hotel Paris Tour Eiffel,1855,8.1,2023-05-15,Paris
153,Hôtel Maxim Folies,1747,8.6,2023-05-15,Paris
154,Charming Studio Near Louvre,2339,9.4,2023-05-15,Paris
155,Hotel Vignon,2796,8.2,2023-05-15,Paris
156,"Hotel Litteraire Le Swann, BW Premier Collection",1900,8.4,2023-05-15,Paris
157,Hotel Louis II,3889,8.8,2023-05-15,Paris
158,Hotel London,1967,7.7,2023-05-15,Paris
159,Hotel Saint Honore,2377,7.3,2023-05-15,Paris
160,Hotel Whistler,1989,8.5,2023-05-15,Paris
161,The Westin Paris - Vendôme,3291,7.2,2023-05-15,Paris
162,Hôtel du Square d'Anvers,1136,7.0,2023-05-15,Paris
163,Serotel Lutèce,1877,8.5,2023-05-15,Paris
164,Elysees Niel Hotel,1493,8.0,2023-05-15,Paris
165,Hôtel Le Marianne,2675,8.8,2023-05-15,Paris
166,Citadines Bastille Gare de Lyon Paris,1408,8.0,2023-05-15,Paris
167,Best Western Plus 61 Paris Nation Hotel,1115,7.6,2023-05-15,Paris
168,Hotel Splendor Elysées,1762,8.2,2023-05-15,Paris
169,Mercure Paris Centre Tour Eiffel,1558,7.5,2023-05-15,Paris
170,New Orient Hotel,1799,8.6,2023-05-15,Paris
171,Maison Athénée,2201,8.3,2023-05-15,Paris
172,Mercure Paris Opera Louvre,1599,8.3,2023-05-15,Paris
173,Super Studio 2P - BastilleSt Antoine 16,982,nan,2023-05-15,Paris
174,"Hôtel du Louvre, in The Unbound Collection by Hyatt",4185,8.7,2023-05-15,Paris
175,Hotel Montaigne,4132,7.8,2023-05-15,Paris
176,Hotel de la Paix Tour Eiffel,2673,8.3,2023-05-15,Paris
177,Le Robinet d'Or,1731,8.8,2023-05-15,Paris
178,Best Western Premier Faubourg 88,1644,8.0,2023-05-15,Paris
179,Hôtel Oratio,1793,8.8,2023-05-15,Paris
180,Hotel Richmond Gare du Nord,1274,7.0,2023-05-15,Paris
181,Hotel Lilas Blanc,1928,8.4,2023-05-15,Paris
182,"Holiday Inn Express Paris-Canal De La Villette, an IHG Hotel",1400,8.1,2023-05-15,Paris
183,Hotel Eiffel Blomet,1753,8.7,2023-05-15,Paris
184,Hidden Hotel,2596,8.8,2023-05-15,Paris
185,Hôtel Aston,1450,7.6,2023-05-15,Paris
186,Novotel Paris Centre Tour Eiffel,1261,7.3,2023-05-15,Paris
187,Mercure Paris Gare de l'Est,1266,7.9,2023-05-15,Paris
188,Grand Hôtel De Turin,1706,7.9,2023-05-15,Paris
189,Hôtel de la Tour Eiffel,1669,7.3,2023-05-15,Paris
190,Hôtel Les Deux Gares,1330,8.4,2023-05-15,Paris
191,La Planque Hotel,1936,9.1,2023-05-15,Paris
192,Hotel Monsieur Helder,2210,8.3,2023-05-15,Paris
193,Too Hotel Paris - MGallery,1803,8.6,2023-05-15,Paris
194,Best Western Plus Opéra Batignolles,1329,8.0,2023-05-15,Paris
195,Hôtel Parisianer,1784,8.7,2023-05-15,Paris
196,Fraser Suites Le Claridge Champs-Elysées,3535,7.6,2023-05-15,Paris
197,HolidaysInParis - Bourg Tibourg,1741,8.3,2023-05-15,Paris
198,Pavillon Monceau,1830,7.9,2023-05-15,Paris
199,Odalys City Paris XVII,718,7.6,2023-05-15,Paris
200,Hotel Audran,1395,7.9,2023-05-15,Paris
201,Pavillon Monceau,1830,7.9,2023-05-15,Paris
202,Hôtel Eiffel Turenne,2728,8.5,2023-05-15,Paris
203,Hotel Audran,1395,7.9,2023-05-15,Paris
204,Citadines Austerlitz Paris,1038,8.1,2023-05-15,Paris
205,Odalys City Paris Montmartre,1024,8.6,2023-05-15,Paris
206,Odalys City Paris XVII,718,7.6,2023-05-15,Paris
207,Edgar Suites Auteuil - Le Marois,3122,9.0,2023-05-15,Paris
208,Hotel Andréa,2003,7.2,2023-05-15,Paris
209,Hotel Bachaumont,2071,8.4,2023-05-15,Paris
210,L'Adresse,2923,7.1,2023-05-15,Paris
211,Prince de Conde,2163,7.9,2023-05-15,Paris
212,Midnight Hotel Paris,1437,7.0,2023-05-15,Paris
213,Hotel Monceau Wagram,1949,7.1,2023-05-15,Paris
214,Hôtel Raspail Montparnasse,2167,8.2,2023-05-15,Paris
215,MEININGER Hotel Paris Porte de Vincennes,906,7.8,2023-05-15,Paris
216,Grand Hôtel de L'Univers Saint-Germain,2154,8.7,2023-05-15,Paris
217,Nouvel Hôtel Eiffel,1864,7.8,2023-05-15,Paris
218,Aparthotel Adagio Porte de Versailles,1251,7.5,2023-05-15,Paris
219,Europe Saint Severin-Paris Notre Dame,3301,8.5,2023-05-15,Paris
220,Les Tournelles,2151,8.8,2023-05-15,Paris
221,Aparthotel Adagio Access Paris Reuilly,1020,8.1,2023-05-15,Paris
222,Hotel Maison FL,1472,8.3,2023-05-15,Paris
223,Mercure Paris Gare du Nord,1303,7.3,2023-05-15,Paris
224,Monceau Elysées,1657,8.5,2023-05-15,Paris
225,Hotel Brady - Gare de l'Est,1307,7.9,2023-05-15,Paris
226,Edgar Suites Saint-Lazare - Amsterdam,2289,9.0,2023-05-15,Paris
227,Francois 1er,2363,8.5,2023-05-15,Paris
228,Apostrophe Hôtel,1466,7.9,2023-05-15,Paris
229,Trianon Gare de Lyon,1279,7.4,2023-05-15,Paris
230,Citadines Les Halles Paris,1717,7.9,2023-05-15,Paris
231,Simon's Boutique Hôtel,956,8.1,2023-05-15,Paris
232,Hôtel de l'Avre,2348,8.5,2023-05-15,Paris
233,Hotel Sacha,1437,8.0,2023-05-15,Paris
234,Monceau Elysées,1657,8.5,2023-05-15,Paris
235,Hôtel De Nice,2083,8.2,2023-05-15,Paris
236,Saint Georges Lafayette,1653,7.9,2023-05-15,Paris
237,Hotel Villa Nicolo,1623,9.0,2023-05-15,Paris
238,La Perle,1931,8.7,2023-05-15,Paris
239,Urban Bivouac Hotel,1443,8.7,2023-05-15,Paris
240,Hotel Beaugrenelle Tour Eiffel,1688,7.6,2023-05-15,Paris
241,Hotel de Flore,1289,8.7,2023-05-15,Paris
242,Lyric Hotel Paris Opera,2469,8.9,2023-05-15,Paris
243,Hôtel Regina Louvre,4000,8.8,2023-05-15,Paris
244,Excelsior Opera,1341,8.5,2023-05-15,Paris
245,Hôtel Gaston,1297,8.1,2023-05-15,Paris
246,Citadines Bastille Marais Paris,1661,7.9,2023-05-15,Paris
247,Hotel Campanile Paris-Bercy Village,862,7.9,2023-05-15,Paris
248,55 Hôtel Montparnasse,1760,7.8,2023-05-15,Paris
249,Hôtel Montparnasse Saint Germain,1757,8.0,2023-05-15,Paris
250,Hotel Le Saint Gregoire,2079,8.3,2023-05-15,Paris
251,Hotel Auguste,1060,7.0,2023-05-15,Paris
252,Avia Hôtel Saphir Montparnasse,2261,7.6,2023-05-15,Paris
253,"Holiday Inn Paris Opéra - Grands Boulevards, an IHG Hotel",1505,8.2,2023-05-15,Paris
254,Hotel Marena,1508,7.8,2023-05-15,Paris
