,hotel,price,rating,start_date,city
0,El Avenida Palace,1280,8.5,2023-05-15,Barcelona
1,Sonder Casa Luz,1293,8.5,2023-05-15,Barcelona
2,Ohla Eixample,1935,8.9,2023-05-15,Barcelona
3,Hotel Paxton Barcelona,1487,8.7,2023-05-15,Barcelona
4,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1171,8.5,2023-05-15,Barcelona
5,ME Barcelona,2613,9.2,2023-05-15,Barcelona
6,Casa Elliot by Bondia Hotel Group,1458,8.8,2023-05-15,Barcelona
7,Gran Hotel La Florida G.L Monumento,1545,8.7,2023-05-15,Barcelona
8,Ofelias Hotel 4* Sup,1453,8.6,2023-05-15,Barcelona
9,Bonanova Suite,1081,8.5,2023-05-15,Barcelona
10,Acacia Suite,1615,8.1,2023-05-15,Barcelona
11,Sixtytwo Hotel,1609,9.2,2023-05-15,Barcelona
12,Sansi Pedralbes,1816,9.5,2023-05-15,Barcelona
13,Hotel Boutique Mirlo Barcelona,2296,9.3,2023-05-15,Barcelona
14,ABaC Restaurant Hotel Barcelona GL Monumento,2757,9.2,2023-05-15,Barcelona
15,You Stylish The Most Luxury Apartment,2292,9.2,2023-05-15,Barcelona
16,Monument Hotel,3095,9.2,2023-05-15,Barcelona
17,Alma Barcelona GL,2899,9.2,2023-05-15,Barcelona
18,Room Mate Pau,1600,9.2,2023-05-15,Barcelona
19,Hotel Casa Sagnier,2096,9.2,2023-05-15,Barcelona
20,Praktik Èssens,1394,9.2,2023-05-15,Barcelona
21,Espais Blaus Apartments,1361,9.2,2023-05-15,Barcelona
22,Casp 74 Apartments,2179,9.1,2023-05-15,Barcelona
23,Catalonia Magdalenes,1566,9.1,2023-05-15,Barcelona
24,Yeah Barcelona Hostel,1305,9.0,2023-05-15,Barcelona
25,Catalonia Passeig de Gràcia 4* Sup,1526,9.0,2023-05-15,Barcelona
26,Forget Me Not Barcelona,1562,9.0,2023-05-15,Barcelona
27,Catalonia Catedral,1746,9.0,2023-05-15,Barcelona
28,Violeta Boutique,2103,9.0,2023-05-15,Barcelona
29,Catalonia Square 4* Sup,1486,9.0,2023-05-15,Barcelona
30,Aparthotel Arai 4* Superior,1744,8.9,2023-05-15,Barcelona
31,Suites Center Barcelona,2082,8.9,2023-05-15,Barcelona
32,Gallery Hotel,1599,8.9,2023-05-15,Barcelona
33,ICON Bcn,1712,8.9,2023-05-15,Barcelona
34,Duquesa de Cardona 4* Sup,1706,8.9,2023-05-15,Barcelona
35,Ohla Barcelona,2501,8.9,2023-05-15,Barcelona
36,Hotel Casa Fuster G.L Monumento,4081,8.8,2023-05-15,Barcelona
37,Ocean Drive Barcelona,1817,8.8,2023-05-15,Barcelona
38,Amister Apartments,1759,8.8,2023-05-15,Barcelona
39,Central Apartment,2612,8.8,2023-05-15,Barcelona
40,Hostal Centric,886,8.7,2023-05-15,Barcelona
41,Ayre Hotel Gran Vía,999,8.7,2023-05-15,Barcelona
42,"The Hoxton, Poblenou",1526,8.7,2023-05-15,Barcelona
43,Isabella's House,1113,8.7,2023-05-15,Barcelona
44,Duquesa Suites Barcelona,1901,8.7,2023-05-15,Barcelona
45,Vincci Gala,2290,8.7,2023-05-15,Barcelona
46,The Moods Oasis,1017,8.7,2023-05-15,Barcelona
47,"Hotel Bagués, a Small Luxury Hotel of the World",2005,8.7,2023-05-15,Barcelona
48,Catalonia Portal de l'Angel,1476,8.7,2023-05-15,Barcelona
49,"Hotel Gran Derby Suites, a Small Luxury Hotel of the World",1190,8.7,2023-05-15,Barcelona
50,Catalonia Gran Via BCN,1146,8.7,2023-05-15,Barcelona
51,Praktik Vinoteca,1040,8.6,2023-05-15,Barcelona
52,Catalonia Born,1086,8.6,2023-05-15,Barcelona
53,Hotel Barcelona Center,1385,8.6,2023-05-15,Barcelona
54,Catalonia Port,1486,8.6,2023-05-15,Barcelona
55,Hotel Barcelona Catedral,1626,8.6,2023-05-15,Barcelona
56,Catalonia Albeniz,956,8.6,2023-05-15,Barcelona
57,Hostal Operaramblas,1070,8.6,2023-05-15,Barcelona
