,hotel,price,rating,start_date,city
0,Room Mate Anna,1672,8.7,2023-05-29,Barcelona
1,Sonder DO Plaça Reial,4502,8.4,2023-05-29,Barcelona
2,Ohla Eixample,2507,8.9,2023-05-29,Barcelona
3,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1621,8.5,2023-05-29,Barcelona
4,Gran Hotel Havana by Escampa Hotels,1806,8.5,2023-05-29,Barcelona
5,Hotel Lleó,1349,8.2,2023-05-29,Barcelona
6,Aparthotel Atenea Calabria,1557,8.2,2023-05-29,Barcelona
7,Praktik Èssens,1954,9.2,2023-05-29,Barcelona
8,Hotel Lloret Ramblas,1116,8.0,2023-05-29,Barcelona
9,Praktik Garden,1390,8.2,2023-05-29,Barcelona
10,El Avenida Palace,"Price €&nbsp;1,586",8.5,2023-05-29,Barcelona
11,Onix Liceo,1273,8.3,2023-05-29,Barcelona
12,Onix Fira,1124,7.7,2023-05-29,Barcelona
13,Praktik Vinoteca,1440,8.6,2023-05-29,Barcelona
14,Hotel Sant Agustí,1473,7.9,2023-05-29,Barcelona
15,Nobu Hotel Barcelona,2109,8.4,2023-05-29,Barcelona
16,Catalonia Passeig de Gràcia 4* Sup,1846,9.0,2023-05-29,Barcelona
17,Casa Elliot by Bondia Hotel Group,1656,8.8,2023-05-29,Barcelona
18,Duquesa de Cardona 4* Sup,2036,8.9,2023-05-29,Barcelona
19,Catalonia Magdalenes,1886,9.1,2023-05-29,Barcelona
20,Catalonia Sagrada Familia,1246,8.2,2023-05-29,Barcelona
21,Hostal Operaramblas,1336,8.6,2023-05-29,Barcelona
22,Axel Hotel Barcelona &amp; Urban Spa- Adults Only,1914,8.4,2023-05-29,Barcelona
23,Praktik Bakery,1440,8.6,2023-05-29,Barcelona
24,Catalonia Ramblas 4* Sup,2046,8.3,2023-05-29,Barcelona
25,Catalonia Catedral,1996,9.0,2023-05-29,Barcelona
26,Praktik Rambla,1575,8.5,2023-05-29,Barcelona
27,Catalonia Gracia,1176,8.4,2023-05-29,Barcelona
28,Catalonia Barcelona Plaza,1641,8.3,2023-05-29,Barcelona
29,Hotel Astoria,1356,8.5,2023-05-29,Barcelona
30,Gallery Hotel,1943,8.9,2023-05-29,Barcelona
31,Duquesa Suites Barcelona,2001,8.7,2023-05-29,Barcelona
32,Onix Rambla,1355,8.4,2023-05-29,Barcelona
33,Catalonia Square 4* Sup,2106,9.0,2023-05-29,Barcelona
34,"Hotel Granados 83, a Member of Design Hotels",1726,8.6,2023-05-29,Barcelona
35,Catalonia Albeniz,1246,8.6,2023-05-29,Barcelona
36,Petit Palace Boqueria Garden,2071,8.2,2023-05-29,Barcelona
37,Catalonia Atenas,1276,8.1,2023-05-29,Barcelona
38,Catalonia Port,1756,8.6,2023-05-29,Barcelona
39,Hotel Balmes,1638,8.4,2023-05-29,Barcelona
40,AC Hotel Diagonal L'Illa by Marriott,1830,8.6,2023-05-29,Barcelona
41,Catalonia Gran Via BCN,1486,8.7,2023-05-29,Barcelona
42,Hotel Casa Sagnier,2613,9.2,2023-05-29,Barcelona
43,Anima Apartments Sants,1116,8.3,2023-05-29,Barcelona
44,Golden Hotel Barcelona,"Price €&nbsp;1,509",8.4,2023-05-29,Barcelona
45,Catalonia Roma,1176,8.1,2023-05-29,Barcelona
46,Suites Avenue,2078,9.0,2023-05-29,Barcelona
47,Hilton Barcelona,2184,7.9,2023-05-29,Barcelona
48,Hotel Barcelona Catedral,1976,8.6,2023-05-29,Barcelona
49,Ofelias Hotel 4* Sup,1692,8.6,2023-05-29,Barcelona
50,Isabella's House,1640,8.7,2023-05-29,Barcelona
51,ICON Bcn,2146,8.9,2023-05-29,Barcelona
52,Atenea Rekord Suites,1372,8.5,2023-05-29,Barcelona
53,BCN Urbaness Hotels Del Comte,1153,8.0,2023-05-29,Barcelona
