,hotel,price,rating,start_date,city
0,Room Mate Pau,1334,9.2,2023-05-08,Barcelona
1,Sonder DO Plaça Reial,2686,8.4,2023-05-08,Barcelona
2,Hotel Paxton Barcelona,1481,8.7,2023-05-08,Barcelona
3,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1222,8.5,2023-05-08,Barcelona
4,Ohla Eixample,2123,8.9,2023-05-08,Barcelona
5,Gran Hotel Havana by Escampa Hotels,1206,8.5,2023-05-08,Barcelona
6,Catalonia Sagrada Familia,796,8.2,2023-05-08,Barcelona
7,Gran Hotel La Florida G.L Monumento,1356,8.7,2023-05-08,Barcelona
8,Onix Fira,809,7.7,2023-05-08,Barcelona
9,Praktik Garden,980,8.2,2023-05-08,Barcelona
10,Hostal Orleans,1129,8.6,2023-05-08,Barcelona
11,Catalonia Eixample 1864,1006,8.3,2023-05-08,Barcelona
12,Catalonia Plaza Catalunya,1366,8.5,2023-05-08,Barcelona
13,Nobu Hotel Barcelona,1788,8.4,2023-05-08,Barcelona
14,Onix Liceo,968,8.3,2023-05-08,Barcelona
15,Catalonia Portal de l'Angel,1336,8.7,2023-05-08,Barcelona
16,Catalonia Albeniz,816,8.6,2023-05-08,Barcelona
17,Catalonia Avinyo,1016,8.5,2023-05-08,Barcelona
18,Duquesa de Cardona 4* Sup,1506,8.9,2023-05-08,Barcelona
19,Hostal Operaramblas,936,8.6,2023-05-08,Barcelona
20,Hotel Astoria,969,8.5,2023-05-08,Barcelona
21,Catalonia Ramblas 4* Sup,1406,8.3,2023-05-08,Barcelona
22,Catalonia Magdalenes,1486,9.1,2023-05-08,Barcelona
23,Praktik Vinoteca,1040,8.6,2023-05-08,Barcelona
24,Praktik Èssens,1474,9.2,2023-05-08,Barcelona
25,Praktik Rambla,1140,8.5,2023-05-08,Barcelona
26,Hotel Turin Barcelona,1134,8.2,2023-05-08,Barcelona
27,Aparthotel Atenea Calabria,1440,8.2,2023-05-08,Barcelona
28,Catalonia Born,1006,8.6,2023-05-08,Barcelona
29,Catalonia Passeig de Gràcia 4* Sup,1406,9.0,2023-05-08,Barcelona
30,Catalonia Atenas,966,8.1,2023-05-08,Barcelona
31,Catalonia Gracia,966,8.4,2023-05-08,Barcelona
32,Hostal Centric,846,8.7,2023-05-08,Barcelona
33,Catalonia Catedral,1486,9.0,2023-05-08,Barcelona
34,Onix Rambla,1019,8.4,2023-05-08,Barcelona
35,Casa Elliot by Bondia Hotel Group,1299,8.8,2023-05-08,Barcelona
36,Catalonia Square 4* Sup,1426,9.0,2023-05-08,Barcelona
37,Praktik Bakery,1050,8.6,2023-05-08,Barcelona
38,Hotel Continental Barcelona,1395,8.1,2023-05-08,Barcelona
39,Hotel Boutique Mirlo Barcelona,1699,9.3,2023-05-08,Barcelona
40,Gallery Hotel,1446,8.9,2023-05-08,Barcelona
41,Catalonia Gran Via BCN,1026,8.7,2023-05-08,Barcelona
42,Hotel Continental Palacete,1145,8.3,2023-05-08,Barcelona
43,Catalonia Roma,916,8.1,2023-05-08,Barcelona
44,Ayre Hotel Gran Vía,984,8.7,2023-05-08,Barcelona
45,Negresco Princess 4* Sup,1346,8.0,2023-05-08,Barcelona
46,Bonanova Suite,917,8.5,2023-05-08,Barcelona
47,Chic &amp; Basic Velvet,836,8.1,2023-05-08,Barcelona
48,"The Hoxton, Poblenou",1526,8.7,2023-05-08,Barcelona
49,Hotel Alimara,665,8.3,2023-05-08,Barcelona
50,Cram Hotel,1304,8.2,2023-05-08,Barcelona
51,Grupotel Gravina,991,8.2,2023-05-08,Barcelona
52,Isabella's House,1044,8.7,2023-05-08,Barcelona
53,Hostal Benidorm,947,8.3,2023-05-08,Barcelona
54,Anima Apartments Sants,976,8.3,2023-05-08,Barcelona
55,ICON Bcn,1635,8.9,2023-05-08,Barcelona
56,Atenea Rekord Suites,1006,8.5,2023-05-08,Barcelona
57,Sansi Pedralbes,1816,9.5,2023-05-08,Barcelona
58,Catalonia Port,1346,8.6,2023-05-08,Barcelona
59,Catalonia Diagonal Centro,1166,8.4,2023-05-08,Barcelona
60,Hotel Serhs Carlit,876,7.9,2023-05-08,Barcelona
61,Hotel HLG CityPark Pelayo,894,7.2,2023-05-08,Barcelona
62,Axel Hotel Barcelona &amp; Urban Spa- Adults Only,1503,8.4,2023-05-08,Barcelona
63,Hotel Barcelona Catedral,1546,8.6,2023-05-08,Barcelona
64,Hostal Levante Barcelona,676,7.9,2023-05-08,Barcelona
65,Ofelias Hotel 4* Sup,1299,8.6,2023-05-08,Barcelona
66,Duquesa Suites Barcelona,1806,8.7,2023-05-08,Barcelona
67,Hotel Via Augusta,926,8.5,2023-05-08,Barcelona
68,Hesperia Barcelona Barri Gòtic,1017,8.0,2023-05-08,Barcelona
69,Express by gaiarooms,808,7.1,2023-05-08,Barcelona
70,Golden Hotel Barcelona,1014,8.4,2023-05-08,Barcelona
71,AC Hotel Barcelona Fórum by Marriott,1874,7.9,2023-05-08,Barcelona
72,Catalonia Rigoletto,966,8.5,2023-05-08,Barcelona
73,Hotel Casa Sagnier,2044,9.2,2023-05-08,Barcelona
74,Hotel Balmes,1295,8.4,2023-05-08,Barcelona
75,Catalonia Barcelona 505,926,8.0,2023-05-08,Barcelona
76,Hotel Viladomat by Silken,795,7.6,2023-05-08,Barcelona
77,Mercure Barcelona Condor,1396,8.3,2023-05-08,Barcelona
78,AC Hotel Diagonal L'Illa by Marriott,1663,8.6,2023-05-08,Barcelona
79,Hotel &amp; Spa Villa Olimpica Suites,1051,8.0,2023-05-08,Barcelona
80,Travelodge Barcelona Poblenou,651,7.3,2023-05-08,Barcelona
81,MH Apartments Suites,1197,8.4,2023-05-08,Barcelona
82,Ocean Drive Barcelona,1638,8.8,2023-05-08,Barcelona
83,Yomo Hostal BCN Port,955,7.8,2023-05-08,Barcelona
84,Petit Palace Boqueria Garden,2634,8.2,2023-05-08,Barcelona
85,The Moods Catedral Hostal Boutique,1083,8.6,2023-05-08,Barcelona
86,Rambla 102,2213,9.3,2023-05-08,Barcelona
87,Hotel Vilamarí,1456,8.1,2023-05-08,Barcelona
88,"Claris Hotel &amp; Spa GL, a Small Luxury Hotel of the World",1637,8.4,2023-05-08,Barcelona
89,APTBCN Super Balmes Guest House,696,8.5,2023-05-08,Barcelona
90,Hotel Barcelona Center,1406,8.6,2023-05-08,Barcelona
91,Andante Hotel,1131,8.6,2023-05-08,Barcelona
92,AC Hotel Victoria Suites by Marriott,1278,8.4,2023-05-08,Barcelona
93,Suites Avenue,1763,9.0,2023-05-08,Barcelona
94,Ciutat Vella,1077,8.2,2023-05-08,Barcelona
95,Sant Antoni Market,1069,8.5,2023-05-08,Barcelona
96,Inside Barcelona Apartments Vidreria,972,8.3,2023-05-08,Barcelona
97,Nicebarcelonaapartments,1369,7.9,2023-05-08,Barcelona
98,The Moods Oasis,993,8.7,2023-05-08,Barcelona
99,Amra Barcelona Caspe,927,8.2,2023-05-08,Barcelona
100,Ilunion Auditori,1104,8.1,2023-05-08,Barcelona
101,Acacia Suite,1495,8.1,2023-05-08,Barcelona
102,Hotel Casa Fuster G.L Monumento,2341,8.8,2023-05-08,Barcelona
103,AC Hotel Irla by Marriott,1102,7.9,2023-05-08,Barcelona
104,Exe Ramblas Boquería,1503,8.3,2023-05-08,Barcelona
105,El Avenida Palace,1249,8.5,2023-05-08,Barcelona
106,Fisa Rentals Ramblas Apartments,1105,8.4,2023-05-08,Barcelona
107,"Hotel Bagués, a Small Luxury Hotel of the World",2252,8.7,2023-05-08,Barcelona
108,Yurbban Passage Hotel &amp; Spa,1748,9.1,2023-05-08,Barcelona
109,Vincci Gala,1982,8.7,2023-05-08,Barcelona
110,Hotel Well and Come,1361,8.8,2023-05-08,Barcelona
111,Ciutat de Barcelona,1162,8.2,2023-05-08,Barcelona
112,Barcelona Apartment Val,1661,8.1,2023-05-08,Barcelona
113,Musik Boutique Hotel,1083,9.1,2023-05-08,Barcelona
114,H10 Madison 4* Sup,1891,9.3,2023-05-08,Barcelona
115,Ohla Barcelona,3293,8.9,2023-05-08,Barcelona
116,W Barcelona,3119,8.4,2023-05-08,Barcelona
117,Charmsuites Nou Rambla,1033,7.7,2023-05-08,Barcelona
118,Monument Hotel,3151,9.2,2023-05-08,Barcelona
119,Acta Voraport,1106,8.7,2023-05-08,Barcelona
120,BCN Urbaness Hotels Del Comte,1035,8.0,2023-05-08,Barcelona
121,Silken Ramblas,1198,8.1,2023-05-08,Barcelona
122,Hotel Best Auto Hogar,879,7.7,2023-05-08,Barcelona
123,Inside Barcelona Apartments Esparteria,1252,8.6,2023-05-08,Barcelona
124,Condes de Barcelona,1492,8.9,2023-05-08,Barcelona
125,Ramblas Apartments,1789,8.7,2023-05-08,Barcelona
126,Pensión Villanueva,772,7.3,2023-05-08,Barcelona
127,Four Points by Sheraton Barcelona Diagonal,910,8.8,2023-05-08,Barcelona
128,The Mirror Barcelona,1242,8.3,2023-05-08,Barcelona
129,Hotel Derby,1084,8.4,2023-05-08,Barcelona
130,Attica 21 Barcelona Mar,941,8.3,2023-05-08,Barcelona
131,Acta Antibes,846,8.6,2023-05-08,Barcelona
132,One Shot Aragó 257,944,8.7,2023-05-08,Barcelona
133,Bcn Urbaness Hotels Gran Rosellon,1310,8.0,2023-05-08,Barcelona
134,Espais Blaus Apartments,1196,9.2,2023-05-08,Barcelona
135,Serennia Apartamentos Ramblas - Plaça Catalunya,1847,8.5,2023-05-08,Barcelona
136,Occidental Atenea Mar - Adults Only,987,8.2,2023-05-08,Barcelona
137,Casa Maca Guest House,705,7.4,2023-05-08,Barcelona
138,Serennia Cest Apartamentos Arc de Triomf,1335,8.3,2023-05-08,Barcelona
139,H10 Marina Barcelona,1350,8.3,2023-05-08,Barcelona
140,Barcelona Apartment Milà,1493,8.0,2023-05-08,Barcelona
141,Occidental Barcelona 1929,1143,9.0,2023-05-08,Barcelona
142,NH Collection Barcelona Podium,1344,8.6,2023-05-08,Barcelona
143,Cuatro Naciones,955,8.3,2023-05-08,Barcelona
144,Casp 74 Apartments,2053,9.1,2023-05-08,Barcelona
145,HCC Taber,996,8.6,2023-05-08,Barcelona
146,Acta BCN 40,969,8.3,2023-05-08,Barcelona
147,Residencia Universitaria Campus del Mar,868,7.5,2023-05-08,Barcelona
148,Hotel Villa Emilia,1270,8.9,2023-05-08,Barcelona
149,Charmsuites Paralel,862,7.7,2023-05-08,Barcelona
150,Hotel Brummell,1347,9.1,2023-05-08,Barcelona
151,Hotel Sagrada Familia,822,8.3,2023-05-08,Barcelona
152,Olivia Plaza Hotel,1936,9.3,2023-05-08,Barcelona
153,Unite Hostel Barcelona,1112,8.3,2023-05-08,Barcelona
154,Forget Me Not Barcelona,1405,9.0,2023-05-08,Barcelona
155,Ilunion Les Corts Spa,1030,7.8,2023-05-08,Barcelona
156,Apartamentos Calvet,785,7.7,2023-05-08,Barcelona
157,Sofitel Barcelona Skipper,2381,8.9,2023-05-08,Barcelona
158,Hotel Miramar Barcelona GL,1581,7.9,2023-05-08,Barcelona
159,Barcelona Apartment Aramunt,1981,7.6,2023-05-08,Barcelona
160,Aparthotel Bcn Montjuic,894,8.3,2023-05-08,Barcelona
161,"Radisson Blu 1882 Hotel, Barcelona Sagrada Familia",1595,8.9,2023-05-08,Barcelona
162,Hotel Jazz,1350,9.0,2023-05-08,Barcelona
163,Aparthotel Arai 4* Superior,1664,8.9,2023-05-08,Barcelona
164,MH Apartments Urban,1433,8.6,2023-05-08,Barcelona
165,Mesón Castilla Atiram Hotels,944,8.0,2023-05-08,Barcelona
166,Hotel Santa Marta,783,8.5,2023-05-08,Barcelona
167,"Cotton House Hotel, Autograph Collection",3548,8.5,2023-05-08,Barcelona
168,NH Barcelona Diagonal Center,839,7.9,2023-05-08,Barcelona
169,Apartamentos DV,748,8.3,2023-05-08,Barcelona
170,ME Barcelona,2743,9.2,2023-05-08,Barcelona
171,Seventy Barcelona,1688,9.3,2023-05-08,Barcelona
172,Hilton Diagonal Mar Barcelona,1308,7.5,2023-05-08,Barcelona
173,Àmfores Boutique Guest House,1176,8.1,2023-05-08,Barcelona
174,Chic &amp; Basic Tallers Hostal,819,7.2,2023-05-08,Barcelona
175,Hotel Brick Barcelona,878,8.8,2023-05-08,Barcelona
176,Iberostar Selection Paseo de Gracia 4 Sup,2055,8.9,2023-05-08,Barcelona
177,Yurbban Ramblas Boutique Hotel,1496,9.3,2023-05-08,Barcelona
178,AC Hotel Sants by Marriott,1109,8.2,2023-05-08,Barcelona
179,Sercotel Hotel Rosellon,1221,8.5,2023-05-08,Barcelona
180,Oriente Atiram,1043,7.8,2023-05-08,Barcelona
181,Sixtytwo Hotel,1713,9.2,2023-05-08,Barcelona
182,Sercotel Caspe,1018,8.4,2023-05-08,Barcelona
183,Hotel Laumon,738,8.2,2023-05-08,Barcelona
184,Aparthotel Senator Barcelona,906,7.4,2023-05-08,Barcelona
185,La Casa de Antonio Boutique Rooms,832,8.3,2023-05-08,Barcelona
186,Ola Living Portaferrissa,1578,8.2,2023-05-08,Barcelona
187,The Corner Hotel,1383,9.2,2023-05-08,Barcelona
188,Mihlton Barcelona Boutique B&amp;B,963,8.7,2023-05-08,Barcelona
189,Ilunion Almirante,1162,7.3,2023-05-08,Barcelona
190,HCC Lugano,886,8.6,2023-05-08,Barcelona
191,Cami Gallery Barcelona,982,8.4,2023-05-08,Barcelona
192,Hotel Best Front Maritim,672,7.5,2023-05-08,Barcelona
193,Hotel Condado,866,8.3,2023-05-08,Barcelona
194,Hostal Oliva,944,8.8,2023-05-08,Barcelona
