,hotel,price,rating,start_date,city
0,Austin's Arts Et Metiers Hotel,1792,8.2,2023-05-15,Paris
1,Sonder L'Edmond Parc Monceau,1630,8.4,2023-05-15,Paris
2,UCPA SPORT STATION HOSTEL PARIS,680,8.0,2023-05-15,Paris
3,Hôtel Korner Etoile,1313,8.3,2023-05-15,Paris
4,Appartement paris Trocadero - Passy,609,nan,2023-05-15,Paris
5,Arc de Triomphe-Champs Elysees City Apartment,1266,nan,2023-05-15,Paris
6,Austin's Saint Lazare Hotel,2387,8.1,2023-05-15,Paris
7,Hotel Le Clery,696,9.0,2023-05-15,Paris
8,Ibis Paris Tour Eiffel Cambronne 15ème,1167,7.5,2023-05-15,Paris
9,Grand Hotel Dore,1408,8.2,2023-05-15,Paris
10,Hôtel Rosalie,1747,8.6,2023-05-15,Paris
11,Grand Hotel Francais,1408,8.5,2023-05-15,Paris
12,"Hôtel du Louvre, in The Unbound Collection by Hyatt",4305,8.7,2023-05-15,Paris
13,Super Studio 2P - BastilleSt Antoine 16,982,nan,2023-05-15,Paris
14,ibis budget Paris Porte de Vincennes,736,6.9,2023-05-15,Paris
15,Padam Hôtel,2671,nan,2023-05-15,Paris
16,Mercure Paris Opera Louvre,1673,8.3,2023-05-15,Paris
17,Campanile Paris 19 - La Villette,907,7.9,2023-05-15,Paris
18,Charming Studio Near Louvre,2339,9.4,2023-05-15,Paris
19,2-ROOMS SUNNY IN HIP PLACE,969,nan,2023-05-15,Paris
20,Paradise Crib,957,nan,2023-05-15,Paris
21,ibis Paris Montmartre 18ème,1073,7.3,2023-05-15,Paris
22,Drawing House,1577,9.0,2023-05-15,Paris
23,ibis Paris Avenue d'Italie 13ème,993,7.7,2023-05-15,Paris
24,GuestReady - Cosy getaway in the trendy 19th Arr,1568,nan,2023-05-15,Paris
25,Les Halles Appartements,935,4.5,2023-05-15,Paris
26,Les Halles Appartements,935,4.5,2023-05-15,Paris
27,ibis budget Paris Porte De Montmartre,503,6.3,2023-05-15,Paris
28,Hôtel du Mont Blanc,1455,7.3,2023-05-15,Paris
29,Hôtel La Comtesse,3251,8.9,2023-05-15,Paris
30,Fauchon l'Hôtel Paris,4764,9.3,2023-05-15,Paris
31,ibis Styles Paris Nation Porte De Montreuil,1527,7.6,2023-05-15,Paris
32,Ibis Paris Gare Montparnasse Catalogne,1224,8.4,2023-05-15,Paris
33,ibis Paris Grands Boulevards Opéra 9e,1472,8.1,2023-05-15,Paris
34,Grand Hôtel Amelot,1571,8.1,2023-05-15,Paris
35,Hotel Paris Bercy,576,6.1,2023-05-15,Paris
36,GuestReady - Charming Studio 5 mins to Pantheon,1181,8.4,2023-05-15,Paris
37,Rue François Miron,1615,8.8,2023-05-15,Paris
38,ibis Styles Paris République,1308,7.1,2023-05-15,Paris
39,Hôtel Le Bellechasse Saint-Germain,2209,8.6,2023-05-15,Paris
40,New Hotel Saint Lazare,761,6.1,2023-05-15,Paris
41,Hôtel de l'Aveyron,832,6.2,2023-05-15,Paris
42,Novotel Paris 20 Belleville,1340,8.3,2023-05-15,Paris
43,ibis Styles Paris Cadet Lafayette,1302,8.0,2023-05-15,Paris
44,Hotel des Bains,758,7.6,2023-05-15,Paris
45,Hôtel France Eiffel,1350,6.3,2023-05-15,Paris
46,Joro Living,1811,nan,2023-05-15,Paris
47,Hôtel Molière,2399,9.0,2023-05-15,Paris
48,Hotel Europe BLV,585,4.9,2023-05-15,Paris
49,Le 123 Sébastopol - Astotel,2358,9.0,2023-05-15,Paris
50,Cosy studio près de l'Arc de Triomphe - 2P,889,7.5,2023-05-15,Paris
51,ibis Paris Italie Tolbiac,909,7.9,2023-05-15,Paris
52,Hotel Le Friedland,2196,8.6,2023-05-15,Paris
53,Novotel Paris 17,1729,7.8,2023-05-15,Paris
54,Aparthotel Adagio Paris Nation,1167,8.4,2023-05-15,Paris
55,Atelier Montparnasse Hôtel,1112,7.2,2023-05-15,Paris
56,Cosy duplex - 1BR4P - St Fargeau,1250,8.0,2023-05-15,Paris
57,Hôtel Apollo Opéra,1462,6.7,2023-05-15,Paris
58,Ideal Hotel,557,5.1,2023-05-15,Paris
59,Le Grey Hotel,2095,8.7,2023-05-15,Paris
60,Aparthotel Adagio Access Paris La Villette,851,7.0,2023-05-15,Paris
61,Residhome Paris Gare de Lyon - Jacqueline de Romilly,1153,8.2,2023-05-15,Paris
62,CV1G Charming studio at République - 2P,735,6.6,2023-05-15,Paris
63,Best Western Aramis Saint Germain,1691,8.1,2023-05-15,Paris
64,Hôtel Le Daum,1823,8.6,2023-05-15,Paris
65,Hotel Celtic,696,6.5,2023-05-15,Paris
66,Novotel Paris Gare De Lyon,1845,8.1,2023-05-15,Paris
67,ibis Budget Paris La Villette 19ème,738,7.1,2023-05-15,Paris
68,Nord Est Hotel,1662,6.9,2023-05-15,Paris
69,ibis Paris Alesia Montparnasse,779,7.5,2023-05-15,Paris
70,Hôtel Pastel Paris,1937,8.3,2023-05-15,Paris
71,Appart'City Paris La Villette,722,7.1,2023-05-15,Paris
72,Mercure Paris Montparnasse Raspail,1841,8.1,2023-05-15,Paris
73,Residence Center of Paris-Montorgueil (Aboukir 105),1828,9.0,2023-05-15,Paris
74,Aparthotel Adagio Access Paris Philippe Auguste,798,7.7,2023-05-15,Paris
75,Hôtel des Comédies,1397,8.2,2023-05-15,Paris
76,Mercure Paris Tour Eiffel Pont Mirabeau,1452,7.7,2023-05-15,Paris
77,Nice apartment for 2 people - Paris 17,1035,nan,2023-05-15,Paris
78,Appartement de standing 3 - tour Eiffel/Invalides,2024,8.5,2023-05-15,Paris
79,ibis Paris Ornano Montmartre Nord 18ème,913,7.3,2023-05-15,Paris
80,Hotel Havane Opera,1145,6.4,2023-05-15,Paris
81,Magnifique appartement au centre de Paris 44,1006,nan,2023-05-15,Paris
82,Mayenne,1357,8.7,2023-05-15,Paris
83,Hôtel Magellan,2194,8.7,2023-05-15,Paris
84,Hotel Minerve,1823,8.3,2023-05-15,Paris
85,Hotel 34B - Astotel,1842,8.8,2023-05-15,Paris
86,Hôtel Augustin - Astotel,1806,8.6,2023-05-15,Paris
87,Modern Hotel,968,6.6,2023-05-15,Paris
88,Tonic Hôtel du Louvre,1066,6.9,2023-05-15,Paris
89,ibis Paris 17 Clichy-Batignolles,707,6.4,2023-05-15,Paris
90,Vestay George V,2129,8.7,2023-05-15,Paris
91,Studio Pigalle,993,7.4,2023-05-15,Paris
92,Hotel Lorette - Astotel,1715,8.6,2023-05-15,Paris
93,citizenM Paris Gare de Lyon,1684,8.4,2023-05-15,Paris
94,Roulette,2122,nan,2023-05-15,Paris
95,Hotel Lutetia,9907,9.0,2023-05-15,Paris
96,Buffon 202 - agréable studio - 2P - Paris 5,1186,8.0,2023-05-15,Paris
97,Hotel Terminus Lyon,1807,7.9,2023-05-15,Paris
98,Appartement Douillet proche Arc Triomphe - 2P,954,7.0,2023-05-15,Paris
99,Best Western Premier Trocadero La Tour,2330,8.0,2023-05-15,Paris
100,Kyriad Paris 10 - Canal Saint Martin - République,1027,7.2,2023-05-15,Paris
101,Hôtel Aiglon,1918,8.7,2023-05-15,Paris
102,Hotel Aix Europe,800,7.0,2023-05-15,Paris
103,ibis Paris Bastille Opera,1150,7.9,2023-05-15,Paris
104,Beauquartier Paris - Grands Boulevards,2003,8.9,2023-05-15,Paris
105,Hôtel Duo,2513,8.2,2023-05-15,Paris
106,Novotel Paris Porte Versailles,1285,8.5,2023-05-15,Paris
107,Paris- Opéra Bastille,724,4.3,2023-05-15,Paris
108,Hôtel Keppler,2435,9.1,2023-05-15,Paris
109,"The Hoxton, Paris",2897,8.7,2023-05-15,Paris
110,Hôtel Henriette,1532,8.9,2023-05-15,Paris
111,Korner Opera,1808,8.2,2023-05-15,Paris
112,Fabulous 1 Bedroom Apartment in Paris,2072,nan,2023-05-15,Paris
113,Mercure Paris Porte De Versailles Expo,1006,8.3,2023-05-15,Paris
114,Novotel Paris 14 Porte d'Orléans,1273,8.1,2023-05-15,Paris
115,"Terrass"" Hotel",2455,8.8,2023-05-15,Paris
116,Charming studio for 2 near République,927,5.8,2023-05-15,Paris
117,Hotel Atelier Vavin,1537,6.7,2023-05-15,Paris
118,Hôtel Eiffel Kensington,1079,6.5,2023-05-15,Paris
119,Moulin Vert,1596,6.7,2023-05-15,Paris
120,Cozy apartment for 2 people - Paris 20,968,nan,2023-05-15,Paris
121,Hipotel Paris Voltaire Bastille,865,7.1,2023-05-15,Paris
122,Mercure Paris Alesia,1246,8.5,2023-05-15,Paris
123,"Studio Saint-Sulpice, Saint-Germain-des-Prés, Odéon by Weekome",1746,10,2023-05-15,Paris
124,Pullman Paris Tour Eiffel,2805,8.2,2023-05-15,Paris
125,Courcelles - Monceau City Apartment,1288,nan,2023-05-15,Paris
126,Hotel Park Lane Paris,1835,8.1,2023-05-15,Paris
127,Hôtel d'Argenson,1472,8.4,2023-05-15,Paris
128,Hotel du Petit Moulin,3155,9.0,2023-05-15,Paris
129,Paris Opéra / Galeries Lafayette : charmant studio,1059,8.7,2023-05-15,Paris
130,Best Western Premier Opéra Faubourg,1604,7.8,2023-05-15,Paris
131,Studio confortable au coeur de Paris,1117,9.0,2023-05-15,Paris
132,Hotel Joyce - Astotel,1691,8.8,2023-05-15,Paris
133,Hôtel Madison,3437,8.6,2023-05-15,Paris
