,hotel,price,rating,start_date,city
88,Catalonia Eixample 1864,1186,8.3,2023-05-15,Barcelona
89,"Hotel Granados 83, a Member of Design Hotels",1313,8.6,2023-05-15,Barcelona
90,Catalonia Barcelona Plaza,1266,8.3,2023-05-15,Barcelona
91,Hotel Santa Marta,968,8.5,2023-05-15,Barcelona
92,Hotel HLG CityPark Pelayo,894,7.2,2023-05-15,Barcelona
93,A Home in Barcelona,1003,8.7,2023-05-15,Barcelona
94,Pensión San Ramón,526,6.4,2023-05-15,Barcelona
95,Hostal Centric,945,8.7,2023-05-15,Barcelona
96,Isabella's House,1113,8.7,2023-05-15,Barcelona
97,Hostal Europa,567,7.3,2023-05-15,Barcelona
98,htop BCN City #htopEnjoy,Price €&nbsp;770,6.6,2023-05-15,Barcelona
99,Inside Barcelona Apartments Mercat,"Price €&nbsp;1,253",9.0,2023-05-15,Barcelona
100,Atenea Rekord Suites,1006,8.5,2023-05-15,Barcelona
101,Casa Felipa Plaza España,1699,8.8,2023-05-15,Barcelona
102,Atenea Rekord Suites,1006,8.5,2023-05-15,Barcelona
103,Boutique Hotel H10 Montcada,1349,8.8,2023-05-15,Barcelona
104,Barcelona4Seasons II,1176,8.2,2023-05-15,Barcelona
105,Gallery Hotel,1599,8.9,2023-05-15,Barcelona
106,"Mandarin Oriental, Barcelona",4981,9.0,2023-05-15,Barcelona
107,Chic &amp; Basic Velvet,880,8.1,2023-05-15,Barcelona
108,Hotel Vilamarí,1155,8.1,2023-05-15,Barcelona
109,Catalonia Gran Via BCN,1146,8.7,2023-05-15,Barcelona
110,Gaudi Hotel,1836,8.2,2023-05-15,Barcelona
111,Catalonia Catedral,1746,9.0,2023-05-15,Barcelona
112,Maldà Singular Hotel,1553,9.1,2023-05-15,Barcelona
113,Hostal Benidorm,1026,8.3,2023-05-15,Barcelona
114,Catalonia Born,1086,8.6,2023-05-15,Barcelona
115,Hotel Actual,1456,8.6,2023-05-15,Barcelona
116,Hotel Boutique Mirlo Barcelona,2451,9.3,2023-05-15,Barcelona
117,Hotel Balmes,1242,8.4,2023-05-15,Barcelona
118,VIU BARCELONA BERTRAN,800,9.2,2023-05-15,Barcelona
119,Gracia8,1663,9.0,2023-05-15,Barcelona
120,Catalonia Gracia,1146,8.4,2023-05-15,Barcelona
121,Hotel Via Augusta,908,8.5,2023-05-15,Barcelona
122,Duquesa Suites Barcelona,1901,8.7,2023-05-15,Barcelona
123,Mercure Barcelona Condor,1546,8.3,2023-05-15,Barcelona
124,Casa Mathilda,1126,9.1,2023-05-15,Barcelona
125,La França Travellers Adults Only,716,7.8,2023-05-15,Barcelona
126,Lodging Apartments Monumumental FREE PARKING,1468,8.3,2023-05-15,Barcelona
127,Hotel SB Icaria Barcelona,1044,7.9,2023-05-15,Barcelona
128,Barcelona Centric Apartment,987,7.8,2023-05-15,Barcelona
129,Hostal Mayerling Centro,848,7.6,2023-05-15,Barcelona
130,ibis Styles Barcelona City Bogatell,961,8.5,2023-05-15,Barcelona
131,Ayre Hotel Gran Vía,1168,8.7,2023-05-15,Barcelona
132,Ohla Barcelona,2751,8.9,2023-05-15,Barcelona
133,Hotel Paseo de Gracia,914,8.8,2023-05-15,Barcelona
134,The Barcelona EDITION,3109,8.9,2023-05-15,Barcelona
135,Cram Hotel,1400,8.2,2023-05-15,Barcelona
136,HOTEL FORNOS - Barcelona,1536,7.4,2023-05-15,Barcelona
137,Catalonia Diagonal Centro,1186,8.4,2023-05-15,Barcelona
138,Hotel Reding Croma,1113,8.3,2023-05-15,Barcelona
139,AC Hotel Diagonal L'Illa by Marriott,1476,8.6,2023-05-15,Barcelona
140,Catalonia Castellnou,936,8.3,2023-05-15,Barcelona
141,Urpi Rooms,546,7.4,2023-05-15,Barcelona
142,Suites Avenue,1845,9.0,2023-05-15,Barcelona
143,Hotel &amp; Spa Villa Olimpica Suites,"Price €&nbsp;1,001",8.0,2023-05-15,Barcelona
144,Sansi Pedralbes,1816,9.5,2023-05-15,Barcelona
145,AC Hotel Irla by Marriott,1102,7.9,2023-05-15,Barcelona
146,SM Hotel Teatre Auditori,818,8.5,2023-05-15,Barcelona
147,Hesperia Barcelona Barri Gòtic,1131,8.0,2023-05-15,Barcelona
148,Catalonia Mikado,916,8.1,2023-05-15,Barcelona
149,Catalonia Port,1486,8.6,2023-05-15,Barcelona
150,Yomo Hostal BCN Port,985,7.8,2023-05-15,Barcelona
151,Ocean Drive Barcelona,1817,8.8,2023-05-15,Barcelona
152,Hotel Barcelona Catedral,1626,8.6,2023-05-15,Barcelona
153,Petit Palace Boqueria Garden,1675,8.2,2023-05-15,Barcelona
154,"Claris Hotel &amp; Spa GL, a Small Luxury Hotel of the World",1806,8.4,2023-05-15,Barcelona
155,Hotel Rialto,959,8.4,2023-05-15,Barcelona
156,Hotel Raval House,1236,8.3,2023-05-15,Barcelona
157,SM Hotel Sant Antoni,886,8.6,2023-05-15,Barcelona
158,Aparthotel Mariano Cubi Barcelona,Price €&nbsp;942,8.1,2023-05-15,Barcelona
159,AC Hotel Victoria Suites by Marriott,1267,8.4,2023-05-15,Barcelona
160,Sallés Hotel Pere IV,1276,8.1,2023-05-15,Barcelona
161,Sonder Paseo de Gracia,1715,8.7,2023-05-15,Barcelona
162,ibis Styles Barcelona Centre,978,8.6,2023-05-15,Barcelona
163,Hotel Casa Sagnier,2237,9.2,2023-05-15,Barcelona
164,Hotel SB Glow **** Sup,1209,8.0,2023-05-15,Barcelona
165,Hotel Roger de Llúria,1556,8.4,2023-05-15,Barcelona
166,ICON Bcn,1709,8.9,2023-05-15,Barcelona
167,H10 Port Vell 4* Sup,1512,8.8,2023-05-15,Barcelona
168,Atica Apartments - by Weflating,803,6.9,2023-05-15,Barcelona
169,Nicebarcelonaapartments,1369,7.9,2023-05-15,Barcelona
170,Grand Central Apartment,2586,8.5,2023-05-15,Barcelona
171,H10 Art Gallery 4* Sup,1157,8.7,2023-05-15,Barcelona
172,Hotel Barcelona Center,1431,8.6,2023-05-15,Barcelona
173,Catalonia La Maquinista,776,8.5,2023-05-15,Barcelona
174,Travelodge Barcelona Poblenou,687,7.3,2023-05-15,Barcelona
175,Room Mate Pau,1600,9.2,2023-05-15,Barcelona
176,Flat Plaza España Guadiana 1/Apartment,1305,8.6,2023-05-15,Barcelona
