,hotel,price,rating,start_date,city
90,Hôtel Le Cercle Tour Eiffel,2815,8.6,2023-05-29,Paris
91,Hotel Villa Romantic &amp; Spa,1737,9.0,2023-05-29,Paris
92,Hôtel Duo,3113,8.2,2023-05-29,Paris
93,La Mondaine,1590,8.5,2023-05-29,Paris
94,Hôtel Brésil Opéra,1468,8.3,2023-05-29,Paris
95,Hotel Bloum,1657,9.0,2023-05-29,Paris
96,Aparthotel Adagio Porte de Versailles,947,7.5,2023-05-29,Paris
97,Au Pacific Hotel,944,7.9,2023-05-29,Paris
98,citizenM Paris Champs-Élysées,2604,8.5,2023-05-29,Paris
99,La Maison Champs Elysées,3055,7.6,2023-05-29,Paris
100,Hôtel Arvor Saint Georges,2301,8.4,2023-05-29,Paris
101,Hôtel Le M,1679,8.0,2023-05-29,Paris
102,Best Western Le Montmartre – Saint Pierre,1283,7.6,2023-05-29,Paris
103,Hôtel Napoleon Paris,3455,8.4,2023-05-29,Paris
104,Hôtel des Arts Montmartre,1978,9.5,2023-05-29,Paris
105,Mercure Paris Place d'Italie,1295,7.9,2023-05-29,Paris
106,Garden-Elysée,"Price €&nbsp;1,883",8.5,2023-05-29,Paris
107,Mercure Paris Gare du Nord,1072,7.3,2023-05-29,Paris
108,Best Western Plus Hôtel Littéraire Marcel Aymé,1662,8.7,2023-05-29,Paris
109,Art Hotel Eiffel,1967,8.2,2023-05-29,Paris
110,Hotel Lilas Blanc,2005,8.4,2023-05-29,Paris
111,Mercure Paris Gare Montparnasse TGV,1473,7.7,2023-05-29,Paris
112,Hotel Lorette - Astotel,1173,8.6,2023-05-29,Paris
113,Hôtel Maxim Quartier Latin,1787,8.2,2023-05-29,Paris
114,Hotel Campanile Paris-Bercy Village,809,7.9,2023-05-29,Paris
115,Sejours &amp; Affaires Paris-Davout,804,8.1,2023-05-29,Paris
116,L'Adresse,2423,7.1,2023-05-29,Paris
117,Aparthotel Adagio Paris Montmartre,1238,8.5,2023-05-29,Paris
118,Nolinski Paris,5385,9.2,2023-05-29,Paris
119,Maison Albar Hotels - Le Vendome,3505,8.7,2023-05-29,Paris
120,Hôtel Aston,1297,7.6,2023-05-29,Paris
121,"Holiday Inn Express Paris-Canal De La Villette, an IHG Hotel",1229,8.1,2023-05-29,Paris
122,Residence Les Boulevards,1617,7.8,2023-05-29,Paris
123,Hôtel De Nice,1673,8.2,2023-05-29,Paris
124,Louvre Marsollier Opera,1840,7.6,2023-05-29,Paris
125,Edouard 7 Paris Opéra,3235,8.6,2023-05-29,Paris
126,Hotel Richmond Gare du Nord,1132,7.0,2023-05-29,Paris
127,Hotel Whistler,1689,8.5,2023-05-29,Paris
128,Hotel De La Cite Rougemont,1184,8.2,2023-05-29,Paris
129,Kyriad Hotel XIII Italie Gobelins,1178,8.1,2023-05-29,Paris
130,Best Western Premier Kapital Opéra,1899,8.6,2023-05-29,Paris
131,Hôtel Elixir,1945,7.7,2023-05-29,Paris
132,Hotel Residence Foch,2089,8.3,2023-05-29,Paris
133,Best Western Premier Faubourg 88,1432,8.0,2023-05-29,Paris
134,Hotel Terminus Montparnasse,1603,7.4,2023-05-29,Paris
135,Maison Albar Hotels Le Diamond,3185,8.5,2023-05-29,Paris
136,Hotel Viator - Gare de Lyon,1303,7.9,2023-05-29,Paris
137,Le Grand Hôtel de Normandie,2128,7.6,2023-05-29,Paris
138,Citadines Bastille Gare de Lyon Paris,1338,8.0,2023-05-29,Paris
139,Super Studio 2P - BastilleSt Antoine 16,952,nan,2023-05-29,Paris
140,Hotel Splendor Elysées,1203,8.2,2023-05-29,Paris
141,Novotel Paris Gare De Lyon,1632,8.1,2023-05-29,Paris
142,"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)",1640,7.8,2023-05-29,Paris
143,Hôtel Saint-Pétersbourg Opéra &amp; Spa,2187,8.4,2023-05-29,Paris
144,First Hotel Paris Tour Eiffel,1862,8.1,2023-05-29,Paris
145,Hipotel Paris Voltaire Bastille,1103,7.1,2023-05-29,Paris
146,Le Malown,2135,7.8,2023-05-29,Paris
147,Hotel des Vosges,551,7.9,2023-05-29,Paris
148,Mercure Paris Gare Montparnasse,1247,8.0,2023-05-29,Paris
149,Hôtel Oratio,1754,8.8,2023-05-29,Paris
150,"Hotel Litteraire Le Swann, BW Premier Collection",1814,8.4,2023-05-29,Paris
151,Timhotel Le Louvre,1313,7.5,2023-05-29,Paris
152,Midnight Hotel Paris,1177,7.0,2023-05-29,Paris
153,Citadines Les Halles Paris,1589,7.9,2023-05-29,Paris
154,B Montmartre,1893,9.0,2023-05-29,Paris
155,Mercure Paris Centre Tour Eiffel,1519,7.5,2023-05-29,Paris
156,Hôtel So Marais,1674,8.0,2023-05-29,Paris
157,25hours Hotel Terminus Nord,1181,8.4,2023-05-29,Paris
158,Hôtel Le Fabe,1645,8.5,2023-05-29,Paris
159,Maison Athénée,2201,8.3,2023-05-29,Paris
160,Maison Axel Opéra,1532,8.4,2023-05-29,Paris
161,Absolute Hotel Paris République,974,7.1,2023-05-29,Paris
162,D'win,1460,7.8,2023-05-29,Paris
163,Citadines Bastille Marais Paris,1422,7.9,2023-05-29,Paris
164,Elysees Niel Hotel,1523,8.0,2023-05-29,Paris
165,Hôtel Parisianer,1784,8.7,2023-05-29,Paris
166,Les Tournelles,2275,8.8,2023-05-29,Paris
167,La Planque Hotel,1786,9.1,2023-05-29,Paris
168,Renaissance Paris Arc de Triomphe Hotel,3399,8.3,2023-05-29,Paris
169,Hôtel Cordelia Opéra-Madeleine,1353,8.3,2023-05-29,Paris
170,Hotel de la Paix Tour Eiffel,2715,8.3,2023-05-29,Paris
171,"Hôtel du Louvre, in The Unbound Collection by Hyatt",4665,8.7,2023-05-29,Paris
172,Hôtel Gaston,1177,8.1,2023-05-29,Paris
173,"Holiday Inn Paris Opéra - Grands Boulevards, an IHG Hotel",1460,8.2,2023-05-29,Paris
174,Hotel Audran,1576,7.9,2023-05-29,Paris
175,Lautrec Opera,1548,7.1,2023-05-29,Paris
176,HOTEL ALISON,2528,8.4,2023-05-29,Paris
177,Le Robinet d'Or,1823,8.8,2023-05-29,Paris
178,Best Western Montcalm,1292,8.2,2023-05-29,Paris
179,Hôtel du Square d'Anvers,1214,7.0,2023-05-29,Paris
180,Hotel Eiffel Seine,1805,8.1,2023-05-29,Paris
181,La Villa Maillot,2009,8.4,2023-05-29,Paris
182,Odalys City Paris Montmartre,1024,8.6,2023-05-29,Paris
183,AC Hotel Paris Porte Maillot by Marriott,2109,8.2,2023-05-29,Paris
184,New Hotel Roblin,2285,8.3,2023-05-29,Paris
185,Odalys City Paris XVII,739,7.6,2023-05-29,Paris
186,Best Western Plus 61 Paris Nation Hotel,1181,7.6,2023-05-29,Paris
187,Hôtel Parisianer,1784,8.7,2023-05-29,Paris
188,"O'Lord, 4 Etoiles, Residence de Luxe Champs-Elysees",3131,9.0,2023-05-29,Paris
189,Best Western Plus Opéra Batignolles,1329,8.0,2023-05-29,Paris
190,Hotel Sacha,1375,8.0,2023-05-29,Paris
191,Too Hotel Paris - MGallery,1622,8.6,2023-05-29,Paris
192,Hotel Brady - Gare de l'Est,1237,7.9,2023-05-29,Paris
193,Pullman Paris Centre - Bercy,3264,8.3,2023-05-29,Paris
194,Hôtel Maxim Opéra,1719,8.3,2023-05-29,Paris
195,Simon's Boutique Hôtel,962,8.1,2023-05-29,Paris
196,Le Basile Hôtel,2435,9.0,2023-05-29,Paris
197,Hotel 34B - Astotel,1410,8.8,2023-05-29,Paris
198,Le 123 Sébastopol - Astotel,1962,9.0,2023-05-29,Paris
199,Aparthotel Adagio Access Paris Reuilly,1043,8.1,2023-05-29,Paris
200,Pavillon Monceau,1819,7.9,2023-05-29,Paris
201,New Orient Hotel,1895,8.6,2023-05-29,Paris
202,Urban Bivouac Hotel,1454,8.7,2023-05-29,Paris
203,Maison Albar Hotels Le Champs-Elysées,3145,8.3,2023-05-29,Paris
204,Hotel Astoria - Astotel,1162,8.4,2023-05-29,Paris
205,Excelsior Opera,1351,8.5,2023-05-29,Paris
206,Classy Studios Louvre -Vendôme,1612,7.6,2023-05-29,Paris
207,MEININGER Hotel Paris Porte de Vincennes,1003,7.8,2023-05-29,Paris
208,Hotel Louvre Saint-Honoré,2009,8.3,2023-05-29,Paris
209,Hôtel Regina Opéra Grands Boulevards,1538,7.7,2023-05-29,Paris
210,Hotel Monsieur Helder,2612,8.3,2023-05-29,Paris
211,Trianon Gare de Lyon,1187,7.4,2023-05-29,Paris
212,Hotel de l'Aqueduc,1111,7.2,2023-05-29,Paris
213,Hotel Maison FL,1529,8.3,2023-05-29,Paris
214,Hotel Claude Bernard Saint-Germain,"Price €&nbsp;1,226",7.5,2023-05-29,Paris
215,Hotel London,2531,7.7,2023-05-29,Paris
216,Monceau Elysées,1590,8.5,2023-05-29,Paris
217,Lyric Hotel Paris Opera,2929,8.9,2023-05-29,Paris
218,Hôtel Baudelaire Opéra,2830,8.1,2023-05-29,Paris
219,Best Stay Jeuneurs,1866,8.6,2023-05-29,Paris
220,Best Western Hôtel Littéraire Arthur Rimbaud,1685,7.9,2023-05-29,Paris
221,Hotel Saint Honore,2509,7.3,2023-05-29,Paris
222,Lennon Hotel Paris Gare du Nord,1160,7.4,2023-05-29,Paris
223,Joie Paris GARE MONTPARNASSE,1398,8.1,2023-05-29,Paris
224,Hotel Mademoiselle,1693,8.2,2023-05-29,Paris
225,Château Voltaire,4245,9.3,2023-05-29,Paris
226,Apostrophe Hôtel,1519,7.9,2023-05-29,Paris
227,Jardins de Mademoiselle Hôtel &amp; Spa,2185,8.7,2023-05-29,Paris
228,New Hotel Lafayette,1365,7.8,2023-05-29,Paris
229,Hotel Montaigne,4416,7.8,2023-05-29,Paris
230,OKKO Hotels Paris Gare de l'Est,1053,8.3,2023-05-29,Paris
231,Citadines Tour Eiffel Paris,1836,8.0,2023-05-29,Paris
232,Hôtel Bleu de Grenelle,2285,8.9,2023-05-29,Paris
233,Hôtel Opera Lafayette,1700,7.3,2023-05-29,Paris
234,Hôtel Montparnasse Saint Germain,1757,8.0,2023-05-29,Paris
235,Grand Hôtel Malher,1699,8.3,2023-05-29,Paris
236,Hotel Marena,1509,7.8,2023-05-29,Paris
237,Hotel Rendez-Vous Batignolles,1286,8.6,2023-05-29,Paris
238,Hotel Auguste,1083,7.0,2023-05-29,Paris
239,Ibis Styles Paris Massena Olympiades,878,8.2,2023-05-29,Paris
240,Hyatt Paris Madeleine,4668,8.4,2023-05-29,Paris
241,Hôtel Elysées Paris,2117,7.5,2023-05-29,Paris
242,Hotel Marignan Champs-Elysées,4623,8.5,2023-05-29,Paris
243,Timhotel Palais Royal,1283,7.9,2023-05-29,Paris
244,Campanile Paris 19 - La Villette,787,7.9,2023-05-29,Paris
245,Grand Hotel Saint Michel,2085,8.1,2023-05-29,Paris
246,Hôtel Opéra Liège,1899,8.8,2023-05-29,Paris
247,Hotel Splendid,1378,7.7,2023-05-29,Paris
248,Walled off Hotel Paris,1066,7.9,2023-05-29,Paris
249,Hôtel Augustin - Astotel,1319,8.6,2023-05-29,Paris
250,Hotel Ile de France Opéra,1349,7.7,2023-05-29,Paris
251,Hotel Cervantes by Happyculture,1562,8.3,2023-05-29,Paris
252,Beauquartier Paris - Haut Marais,1873,7.9,2023-05-29,Paris
253,Hôtel des 3 Poussins,1533,8.7,2023-05-29,Paris
254,Hôtel R de Paris - Boutique Hotel,2375,8.7,2023-05-29,Paris
255,Hôtel Toujours &amp; Spa,1689,8.0,2023-05-29,Paris
256,Hôtel de Roubaix,1178,9.0,2023-05-29,Paris
257,Hotel Joyce - Astotel,1245,8.8,2023-05-29,Paris
258,Hotel Saint Cyr Etoile,1819,8.1,2023-05-29,Paris
259,Hotel Louis II,4095,8.8,2023-05-29,Paris
260,Hôtel Mayet,1443,7.7,2023-05-29,Paris
261,Hotel Magenta 38 by Happyculture,1655,8.0,2023-05-29,Paris
262,Au Manoir Saint Germain,1964,8.5,2023-05-29,Paris
263,L'Amiral,1173,8.2,2023-05-29,Paris
264,Hotel André Latin,1536,8.0,2023-05-29,Paris
265,Hotel Malte - Astotel,2208,9.1,2023-05-29,Paris
266,Hôtel de la Tour Eiffel,1988,7.3,2023-05-29,Paris
267,Hôtel Le Cardinal by Happyculture,1438,8.0,2023-05-29,Paris
268,Hôtel Saint Marcel,1457,8.5,2023-05-29,Paris
269,Saint Georges Lafayette,1807,7.8,2023-05-29,Paris
270,Hôtel Vinci Due &amp; Spa,2546,8.9,2023-05-29,Paris
271,Hotel Paradis,1272,8.2,2023-05-29,Paris
272,Amiral Hôtel,1195,7.3,2023-05-29,Paris
273,ibis Paris Vaugirard Porte de Versailles,837,8.0,2023-05-29,Paris
274,Hôtel Paris Vaugirard,1380,8.3,2023-05-29,Paris
275,Citadines Opéra Paris,1987,8.2,2023-05-29,Paris
276,Daunou Opéra,1997,8.8,2023-05-29,Paris
277,Citadines Saint-Germain-des-Prés Paris,2203,8.1,2023-05-29,Paris
278,Francois 1er,2555,8.5,2023-05-29,Paris
279,Best Western Hotel Opéra Drouot,1994,7.9,2023-05-29,Paris
280,Mercure Paris Gare De Lyon Opera Bastille,1340,8.2,2023-05-29,Paris
281,Hotel Terre Neuve,908,8.4,2023-05-29,Paris
282,Turenne Le Marais,1637,8.0,2023-05-29,Paris
283,Hotel Le Richemont,1073,7.9,2023-05-29,Paris
284,Avia Hôtel Saphir Montparnasse,2597,7.6,2023-05-29,Paris
285,Hôtel Eden Opéra,1655,8.3,2023-05-29,Paris
286,Hotel Eden Montmartre,1109,7.9,2023-05-29,Paris
287,Hôtel Brighton - Esprit de France,3187,8.5,2023-05-29,Paris
288,Appart’City Confort Paris Grande Bibliothèque,1241,7.1,2023-05-29,Paris
289,Hôtel Les Deux Gares,1451,8.4,2023-05-29,Paris
290,Hotel Vacances Bleues Provinces Opera,1232,8.2,2023-05-29,Paris
291,Hotel des Nations Saint Germain,1637,7.9,2023-05-29,Paris
292,Fraser Suites Le Claridge Champs-Elysées,3665,7.6,2023-05-29,Paris
293,Grand Hôtel du Bel Air,1699,7.2,2023-05-29,Paris
294,Hotel Plaza Elysées,2117,8.0,2023-05-29,Paris
295,Novotel Paris Centre Bercy,1572,8.4,2023-05-29,Paris
296,Novotel Paris Centre Gare Montparnasse,1378,8.1,2023-05-29,Paris
297,Les Halles Appartements,935,4.5,2023-05-29,Paris
298,Comfort Hotel Nation Père Lachaise,895,7.1,2023-05-29,Paris
299,Mithouard Apartments,1956,7.5,2023-05-29,Paris
300,Avalon Cosy Hotel Paris Gare du Nord,2615,8.4,2023-05-29,Paris
301,Hotel Monceau Wagram,2125,7.1,2023-05-29,Paris
302,Hotel Villa Saxe Eiffel,2216,8.7,2023-05-29,Paris
303,Hotel Louison,1718,8.5,2023-05-29,Paris
304,Hôtel Gustave,2704,8.8,2023-05-29,Paris
305,Tiquetonne,935,7.0,2023-05-29,Paris
306,Europe Saint Severin-Paris Notre Dame,3358,8.5,2023-05-29,Paris
307,Mercure Paris Gare De Lyon TGV,1321,7.8,2023-05-29,Paris
308,Rochester Champs Elysees,2297,8.5,2023-05-29,Paris
309,"Crowne Plaza Paris République, an IHG Hotel",1976,7.9,2023-05-29,Paris
310,Verlain,971,7.7,2023-05-29,Paris
311,Hotel Monterosa - Astotel,1120,8.6,2023-05-29,Paris
312,Hôtel Henriette,1557,8.9,2023-05-29,Paris
313,Citadines Montmartre Paris,1281,7.9,2023-05-29,Paris
314,Hôtel Da Vinci &amp; Spa,2673,8.6,2023-05-29,Paris
315,Hôtel de Sévigné,2446,8.5,2023-05-29,Paris
316,Le Belleval,2141,8.7,2023-05-29,Paris
317,Maison Souquet,4245,9.2,2023-05-29,Paris
318,Hotel Palm - Astotel,1245,8.9,2023-05-29,Paris
319,Hôtel Vaneau Saint Germain,1637,7.9,2023-05-29,Paris
320,New Hotel Le Voltaire,1425,8.0,2023-05-29,Paris
321,Hôtel Orchidée,1293,8.3,2023-05-29,Paris
322,Hotel Joke - Astotel,1184,8.9,2023-05-29,Paris
323,Hôtel Cabane - Orso Hotels,1115,8.4,2023-05-29,Paris
324,Sinner Paris,4025,8.7,2023-05-29,Paris
