,hotel,price,rating,start_date,city
0,TURIM Alameda Hotel,1060,8.1,2023-05-15,Lisboa
1,Pensao Nova Goa,414,7.2,2023-05-15,Lisboa
2,A Boemia Green Street Studio,789,10,2023-05-15,Lisboa
3,Down Town Apartment - Expo23,768,8.4,2023-05-15,Lisboa
4,Alfama Lyfe,686,9.6,2023-05-15,Lisboa
5,Calado Apartments,623,8.8,2023-05-15,Lisboa
6,Star inn Lisbon Airport,864,8.6,2023-05-15,Lisboa
7,Enjoy Lisbon Graça 2,846,9.7,2023-05-15,Lisboa
8,Lisbon Lovers,824,9.1,2023-05-15,Lisboa
9,Akicity Alameda Charm,990,8.0,2023-05-15,Lisboa
10,Pensao Residencial Flor dos Cavaleiros,294,6.0,2023-05-15,Lisboa
11,Studio Galé Terceiro,678,8.4,2023-05-15,Lisboa
12,Cenário Catita Hostel,246,7.4,2023-05-15,Lisboa
13,Galé Primeiro,678,8.5,2023-05-15,Lisboa
14,4U Lisbon II Guesthouse,336,7.2,2023-05-15,Lisboa
15,Contador Mor Rooms and Apartments,678,8.3,2023-05-15,Lisboa
16,Friendly Border City Design Apartments,635,7.9,2023-05-15,Lisboa
17,"Stay local in Alfama! Deolinda central Home, amazing view",1062,9.6,2023-05-15,Lisboa
18,Chiado Mercy II,1074,9.0,2023-05-15,Lisboa
19,Cantaria - Checkinhome,562,7.9,2023-05-15,Lisboa
20,Rising Sun,672,8.8,2023-05-15,Lisboa
21,Residencial Joao XXI,354,6.0,2023-05-15,Lisboa
22,Cosy Luxury Apartment - Lisbon Center,619,8.2,2023-05-15,Lisboa
23,New Charming Flat - Lisbon Center,627,7.2,2023-05-15,Lisboa
24,Santa Marta by SpotOn Apartments,984,nan,2023-05-15,Lisboa
25,Alegramente,850,8.8,2023-05-15,Lisboa
26,Coleginho Apartment,734,7.1,2023-05-15,Lisboa
27,Rose Apartments,527,6.3,2023-05-15,Lisboa
28,Vila Nova Guesthouse,824,8.3,2023-05-15,Lisboa
29,Bairro Alto Loft Apartment,732,8.0,2023-05-15,Lisboa
30,Akicity Lisboa Iris,1590,9.2,2023-05-15,Lisboa
31,Living Lounge Hostel,465,8.9,2023-05-15,Lisboa
32,Ibis Styles Lisboa Centro Marquês de Pombal,804,8.2,2023-05-15,Lisboa
33,Crisapartment,924,9.4,2023-05-15,Lisboa
34,Akicity Baixa In II,720,nan,2023-05-15,Lisboa
35,Jupiter Lisboa Hotel,1134,8.7,2023-05-15,Lisboa
36,FLH Santa Catarina Typical Studio,730,7.3,2023-05-15,Lisboa
37,Nova Alegria,486,8.0,2023-05-15,Lisboa
38,In the heart of Lisbon,794,8.4,2023-05-15,Lisboa
39,Montebelo Lx Dwt Apartments,1416,9.6,2023-05-15,Lisboa
40,"Estrela de Arganil - Luis Simões &amp; Conceição, Lda",504,8.2,2023-05-15,Lisboa
41,Casa do Conde,634,8.1,2023-05-15,Lisboa
42,Trendy Apartment in Bairro Alto,782,9.7,2023-05-15,Lisboa
43,Crooked House Alfama,814,9.0,2023-05-15,Lisboa
44,Novotel Lisboa,838,7.8,2023-05-15,Lisboa
45,Moxy Lisboa Oriente,738,8.5,2023-05-15,Lisboa
46,Meliá Lisboa Aeroporto,834,8.8,2023-05-15,Lisboa
47,FLH Marquês Pombal Flat with Balcony,1214,nan,2023-05-15,Lisboa
48,RoomDream AL Beato,324,8.4,2023-05-15,Lisboa
49,Boa Nova Guesthouse,454,7.4,2023-05-15,Lisboa
50,Alfama Lisbon Studio,618,8.2,2023-05-15,Lisboa
51,Cosy Attic City center,624,7.7,2023-05-15,Lisboa
52,Hotel ibis Lisboa Alfragide,534,7.8,2023-05-15,Lisboa
53,Casa Castelo 2- Work or Relax in the historic heart of Lisbon!,864,7.8,2023-05-15,Lisboa
54,Hotel 3K Madrid,618,7.4,2023-05-15,Lisboa
55,LUSTER Hotel,1230,9.4,2023-05-15,Lisboa
56,Stunning Apartment near Avenue Liberdade,1374,9.5,2023-05-15,Lisboa
57,Hotel Portuense Lisboa,1035,8.6,2023-05-15,Lisboa
58,Lisbon Nest,798,8.9,2023-05-15,Lisboa
59,FLH Intendente Mezzanine with Interior Pateo,938,nan,2023-05-15,Lisboa
60,Apartamento Bernardim Ribeiro 4 andar,474,8.3,2023-05-15,Lisboa
61,B&amp;B Hotel Lisboa Aeroporto,434,8.2,2023-05-15,Lisboa
62,Palacette da Mouraria,766,8.8,2023-05-15,Lisboa
63,Vila Garden Guesthouse,787,9.0,2023-05-15,Lisboa
64,Modern Cozy Studio - Portas Do Sol,544,7.5,2023-05-15,Lisboa
65,Happy Days,676,8.7,2023-05-15,Lisboa
66,GuestReady - Modern and cosy apartment,796,nan,2023-05-15,Lisboa
67,GuestReady - Time Out 106,831,6.6,2023-05-15,Lisboa
68,LX Lisboa Cozy studio,582,7.9,2023-05-15,Lisboa
69,Verão Casa,1104,8.1,2023-05-15,Lisboa
70,Rent4Rest Dream View Apartment Lisbon,2088,8.8,2023-05-15,Lisboa
71,FLH São Jorge Castle Flat,1208,7.0,2023-05-15,Lisboa
72,The Blue Sky Nest,1016,9.7,2023-05-15,Lisboa
73,GuestHouse Pena,336,7.4,2023-05-15,Lisboa
74,Prime Lisbon - Sao Paulo 5,944,8.3,2023-05-15,Lisboa
75,Cozy House by Famous Flea Market with Terrace,654,7.5,2023-05-15,Lisboa
76,Traditional Studio in Alfama,697,9.0,2023-05-15,Lisboa
77,Stay Hotel Lisboa Aeroporto,594,8.0,2023-05-15,Lisboa
78,Amoreira Room,381,7.9,2023-05-15,Lisboa
79,Embaixador 26: Belem Serviced Apartments,784,9.2,2023-05-15,Lisboa
80,Alfama Apartment with River view,1084,8.5,2023-05-15,Lisboa
81,CastleViewAttic,758,8.1,2023-05-15,Lisboa
82,Alfama District by be@home,744,7.5,2023-05-15,Lisboa
83,WHome Casa Alcazar Perfect spot w/ private Patio,973,8.0,2023-05-15,Lisboa
84,Lisbon Style,684,8.4,2023-05-15,Lisboa
