,hotel,price,rating,start_date,city
0,Lisbon Best Choice Prime Apartments Alfama,967,9.3,2023-05-22,Lisboa
1,TURIM Iberia Hotel,651,8.2,2023-05-22,Lisboa
2,Star inn Lisbon Airport,864,8.6,2023-05-22,Lisboa
3,Bairro Alto Bronze of Art Apartments,869,8.8,2023-05-22,Lisboa
4,Jupiter Lisboa Hotel,1134,8.7,2023-05-22,Lisboa
5,Novotel Lisboa,798,7.8,2023-05-22,Lisboa
6,Hotel 3K Madrid,618,7.4,2023-05-22,Lisboa
7,Boa Nova Guesthouse,454,7.4,2023-05-22,Lisboa
8,Lisbon Art Stay Apartments Baixa,878,8.9,2023-05-22,Lisboa
9,Hotel Pateo - Lisbon Lounge Suites,942,8.7,2023-05-22,Lisboa
10,HF Fenix Garden,888,8.6,2023-05-22,Lisboa
11,GuestHouse Pena,336,7.4,2023-05-22,Lisboa
12,TURIM Alameda Hotel,926,8.1,2023-05-22,Lisboa
13,Montecarmo12,1014,8.1,2023-05-22,Lisboa
14,54 São Paulo - Exclusive Apartment Hotel,1022,9.1,2023-05-22,Lisboa
15,54 Santa Catarina Apartments,1118,9.3,2023-05-22,Lisboa
16,São Vicente Alfama Hotel by TRIUS Hotels,1554,9.4,2023-05-22,Lisboa
17,Alma Moura Residences,756,8.5,2023-05-22,Lisboa
18,Memmo Príncipe Real - Design Hotels,2914,9.0,2023-05-22,Lisboa
19,Republica83-Campo Pequeno Home,481,8.4,2023-05-22,Lisboa
20,HF Fenix Music,1011,8.7,2023-05-22,Lisboa
21,TM Luxury Apartments Lisbon,1074,9.4,2023-05-22,Lisboa
22,Moxy Lisboa Oriente,1022,8.5,2023-05-22,Lisboa
23,Bairro Alto Hotel,2974,9.2,2023-05-22,Lisboa
24,SantoSweethome 1,636,8.4,2023-05-22,Lisboa
25,HF Fenix Urban,858,8.1,2023-05-22,Lisboa
26,TURIM Boulevard Hotel,1803,8.6,2023-05-22,Lisboa
27,NLC Rooms &amp; Suites,444,7.2,2023-05-22,Lisboa
28,HF Fenix Lisboa,1064,8.2,2023-05-22,Lisboa
29,Meliá Lisboa Aeroporto,1128,8.8,2023-05-22,Lisboa
30,toctoctoc lisboa,1777,9.5,2023-05-22,Lisboa
31,RENT4REST LISBON DOWNTOWN TINY STUDIO Apartments,772,7.9,2023-05-22,Lisboa
32,Light of Lisbon Apartments I,760,7.5,2023-05-22,Lisboa
33,Sublime Lisboa,2424,9.7,2023-05-22,Lisboa
34,Lisboa Pessoa Hotel,1802,9.0,2023-05-22,Lisboa
35,Palácio do Visconde,1556,9.3,2023-05-22,Lisboa
36,Lisbon Cheese &amp; Wine Suites,1132,8.6,2023-05-22,Lisboa
37,Pensao Nova Goa,444,7.2,2023-05-22,Lisboa
38,Browns Central Hotel,1308,8.8,2023-05-22,Lisboa
39,Alfama Lyfe,686,9.6,2023-05-22,Lisboa
40,Down Town Apartment - Expo23,768,8.4,2023-05-22,Lisboa
41,The Ivens Autograph Collection,3984,9.3,2023-05-22,Lisboa
42,Chiado Arty Flats,1595,9.3,2023-05-22,Lisboa
43,Ibis Styles Lisboa Centro Marquês de Pombal,732,8.2,2023-05-22,Lisboa
44,Water and Sun Studio,444,7.2,2023-05-22,Lisboa
45,TURIM Terreiro do Paço Hotel,951,7.7,2023-05-22,Lisboa
46,Lisboa Carmo Hotel,1882,9.0,2023-05-22,Lisboa
47,TryLisbon Calvário,587,8.4,2023-05-22,Lisboa
48,Zenit Lisboa,735,8.4,2023-05-22,Lisboa
49,Hotel Alif Campo Pequeno,880,7.7,2023-05-22,Lisboa
50,Lisboa Prata Boutique Hotel,929,8.2,2023-05-22,Lisboa
51,Lisbon Serviced Apartments - Avenida,993,8.2,2023-05-22,Lisboa
52,Browns Boutique Hotel,1254,8.9,2023-05-22,Lisboa
53,Hotel Mercure Lisboa,798,7.7,2023-05-22,Lisboa
54,EPIC SANA Lisboa Hotel,1968,9.3,2023-05-22,Lisboa
55,Pousada de Lisboa - Small Luxury Hotels Of The World,2705,9.0,2023-05-22,Lisboa
56,Pop Saldanha Premium Apartments,984,8.6,2023-05-22,Lisboa
57,Wine &amp; Books Lisboa Hotel,1883,9.3,2023-05-22,Lisboa
58,Majesticlara Lisbon Guest House,486,8.2,2023-05-22,Lisboa
59,Finest Rentals - Expo Riverside,925,8.9,2023-05-22,Lisboa
60,Maxime Hotel Lisbon,1162,8.8,2023-05-22,Lisboa
61,EPIC SANA Marquês Hotel,2158,9.2,2023-05-22,Lisboa
62,Charming Apartment with Terrace and Pool in Lisbon,1139,9.2,2023-05-22,Lisboa
63,Flores Guest House,884,8.5,2023-05-22,Lisboa
64,Lx Boutique Hotel,1289,8.6,2023-05-22,Lisboa
65,Cais Urban Lodge,1093,8.9,2023-05-22,Lisboa
66,America Diamonds Hotel &amp; Sushi Bar,978,8.5,2023-05-22,Lisboa
67,Enjoy Lisbon Graça 2,846,9.7,2023-05-22,Lisboa
68,Portas Do Bairro,964,7.6,2023-05-22,Lisboa
69,Home Out Rooms &amp; Apartments,403,8.7,2023-05-22,Lisboa
70,Alfama Right Point,891,8.4,2023-05-22,Lisboa
71,Sofitel Lisbon Liberdade,1480,8.4,2023-05-22,Lisboa
72,Hola Lisbon Suites,816,8.5,2023-05-22,Lisboa
73,Lisbon Serviced Apartments - Parque,1249,8.3,2023-05-22,Lisboa
74,Lisbon Skyline Terrace,584,7.9,2023-05-22,Lisboa
75,Radisson Blu Hotel Lisbon,942,7.9,2023-05-22,Lisboa
76,TURIM Europa Hotel,754,7.8,2023-05-22,Lisboa
77,Hotel 3K Barcelona,738,7.7,2023-05-22,Lisboa
78,Dreaming Lisbon - Trigueiros Pateo,894,8.4,2023-05-22,Lisboa
79,TURIM Saldanha Hotel,803,8.0,2023-05-22,Lisboa
80,Hotel Alif Avenidas,1230,8.2,2023-05-22,Lisboa
81,Industrial Lisbon Apartment,816,8.8,2023-05-22,Lisboa
82,Lisbon Lovers,824,9.1,2023-05-22,Lisboa
83,Duplo Charme Boutique Hotel,864,8.3,2023-05-22,Lisboa
84,ON City Flats,961,7.9,2023-05-22,Lisboa
85,Esqina Urban Lodge,1006,8.5,2023-05-22,Lisboa
86,The Emerald House Lisbon - Curio Collection By Hilton,1913,9.0,2023-05-22,Lisboa
87,Lumen Hotel &amp; The Lisbon Light Show,1251,9.1,2023-05-22,Lisboa
88,Monopoly house for GROUPS!,1358,9.5,2023-05-22,Lisboa
89,Belem Boutique Apartments by Homing,610,6.7,2023-05-22,Lisboa
90,Browns Downtown Hotel,1325,8.7,2023-05-22,Lisboa
91,Dom Pedro Lisboa,1117,8.5,2023-05-22,Lisboa
92,Eurostars Lisboa Baixa,1918,9.7,2023-05-22,Lisboa
93,Esqina Cosmopolitan Lodge,1209,8.7,2023-05-22,Lisboa
94,Portas do Céu,1098,8.4,2023-05-22,Lisboa
95,São Vicente 1797 Apartments,1209,9.6,2023-05-22,Lisboa
96,Belém- Charming Apartments,804,8.7,2023-05-22,Lisboa
97,Hotel Travel Park Lisboa,743,8.3,2023-05-22,Lisboa
98,Sta Catarina Design Apartments by Lisbon One,1194,8.6,2023-05-22,Lisboa
99,Vila Gale Opera,1430,7.7,2023-05-22,Lisboa
100,Hotel Hotel - Member of Design Hotels,2265,9.3,2023-05-22,Lisboa
101,Lisbon Castle Apartment,858,9.0,2023-05-22,Lisboa
102,TURIM Marques Hotel,879,8.1,2023-05-22,Lisboa
103,Akicity Alameda Charm,990,8.0,2023-05-22,Lisboa
104,Casa Boma Lisboa - Brighting And Charming Apartment - Lapa VI,788,8.0,2023-05-22,Lisboa
105,My Mouraria Suites,735,7.6,2023-05-22,Lisboa
106,Deco Gem in Santa Catarina,1924,7.5,2023-05-22,Lisboa
107,Hotel Principe Real,968,7.9,2023-05-22,Lisboa
108,Alegria A Lisbon Boutique Hotel,1332,9.0,2023-05-22,Lisboa
109,The Visionaire Apartments,1544,9.0,2023-05-22,Lisboa
110,Hygge House,726,8.7,2023-05-22,Lisboa
111,1898 Home &amp; Suites,528,7.0,2023-05-22,Lisboa
112,Hotel Miraparque,918,8.3,2023-05-22,Lisboa
113,Lisbon Apartments in Anjos,594,9.7,2023-05-22,Lisboa
114,MY LX FLAT Bairro Alto Design Apartments,743,8.5,2023-05-22,Lisboa
115,Hotel Gat Rossio,848,8.6,2023-05-22,Lisboa
