,hotel,price,rating,start_date,city
0,UCPA SPORT STATION HOSTEL PARIS,690,8.0,2023-05-22,Paris
1,Novotel Paris Porte Versailles,1541,8.5,2023-05-22,Paris
2,Hotel Restaurant Au Boeuf Couronné,953,8.5,2023-05-22,Paris
3,Fauchon l'Hôtel Paris,4951,9.3,2023-05-22,Paris
4,Hotel Le 10 BIS,1779,8.8,2023-05-22,Paris
5,Cosy studio 2P - Auteuil RDC,737,nan,2023-05-22,Paris
6,Family Residence,1176,8.0,2023-05-22,Paris
7,Novotel Paris 20 Belleville,1382,8.3,2023-05-22,Paris
8,Novotel Paris Gare De Lyon,1740,8.1,2023-05-22,Paris
9,Hôtel Korner Etoile,1120,8.3,2023-05-22,Paris
10,Hotel des Bains,770,7.6,2023-05-22,Paris
11,Le 123 Sébastopol - Astotel,2266,9.0,2023-05-22,Paris
12,Hôtel d'Argenson,1097,8.4,2023-05-22,Paris
13,"Holiday Inn Paris Gare de l'Est, an IHG Hotel",1155,7.7,2023-05-22,Paris
14,Aparthotel Adagio Paris Nation,1126,8.4,2023-05-22,Paris
15,Best Western Aramis Saint Germain,1619,8.1,2023-05-22,Paris
16,Hotel Lorette - Astotel,1565,8.6,2023-05-22,Paris
17,Hôtel des Comédies,1397,8.2,2023-05-22,Paris
18,Appart'City Paris La Villette,741,7.1,2023-05-22,Paris
19,Appartement paris Trocadero - Passy,609,nan,2023-05-22,Paris
20,Hotel Malte - Astotel,2428,9.1,2023-05-22,Paris
21,Aparthotel Adagio Access Paris La Villette,867,7.0,2023-05-22,Paris
22,Hotel Minerve,1823,8.2,2023-05-22,Paris
23,Splendid Etoile,2199,8.8,2023-05-22,Paris
24,Novotel Suites Paris Montreuil Vincennes,856,7.7,2023-05-22,Paris
25,Hotel 34B - Astotel,1692,8.8,2023-05-22,Paris
26,Hotel Aida Opera,1300,8.2,2023-05-22,Paris
27,Korner Opera,1469,8.2,2023-05-22,Paris
28,Louisa Hotel Paris,1154,7.5,2023-05-22,Paris
29,Hotel de la Bretonnerie,1484,8.2,2023-05-22,Paris
30,Hotel Terminus Lyon,1514,7.9,2023-05-22,Paris
31,Mercure Paris Vaugirard Porte De Versailles,1732,8.2,2023-05-22,Paris
32,Arc de Triomphe-Champs Elysees City Apartment,1266,nan,2023-05-22,Paris
33,citizenM Paris Gare de Lyon,1689,8.4,2023-05-22,Paris
34,Hôtel A La Villa des Artistes,1347,8.6,2023-05-22,Paris
35,Hôtel Augustin - Astotel,1680,8.6,2023-05-22,Paris
36,Absolute Hotel Paris République,760,7.1,2023-05-22,Paris
37,Residhome Paris Rosa Parks,724,8.3,2023-05-22,Paris
38,Hotel Paix Republique,1208,8.2,2023-05-22,Paris
39,Hotel Mimosa Paris,850,7.5,2023-05-22,Paris
40,Hotel Astoria - Astotel,1542,8.4,2023-05-22,Paris
41,"The Hoxton, Paris",2942,8.7,2023-05-22,Paris
42,Residhome Paris Gare de Lyon - Jacqueline de Romilly,1223,8.2,2023-05-22,Paris
43,Hotel Armoni Paris,1193,8.2,2023-05-22,Paris
44,Austin's Saint Lazare Hotel,2541,8.1,2023-05-22,Paris
45,Arc de Triomphe Etoile,1463,8.2,2023-05-22,Paris
46,Ibis Paris Tour Eiffel Cambronne 15ème,1178,7.5,2023-05-22,Paris
47,Hôtel Bedford,1802,8.3,2023-05-22,Paris
48,Hôtel Albert 1er,1127,7.8,2023-05-22,Paris
49,Bonsoir Madame,2087,8.9,2023-05-22,Paris
50,Hotel Aix Europe,813,7.0,2023-05-22,Paris
51,Edgar Suites Expo Paris Porte de Versailles,989,9.0,2023-05-22,Paris
52,Hotel du Petit Moulin,3155,9.0,2023-05-22,Paris
53,Mercure Paris Alesia,1309,8.5,2023-05-22,Paris
54,Hotel Terminus Montparnasse,1395,7.4,2023-05-22,Paris
55,Hotel Park Lane Paris,1845,8.1,2023-05-22,Paris
56,Hotel Joyce - Astotel,1634,8.8,2023-05-22,Paris
57,Best Western Le Montmartre – Saint Pierre,1128,7.6,2023-05-22,Paris
58,Grand Pigalle Hotel,1991,8.7,2023-05-22,Paris
59,Le Malown,1595,7.8,2023-05-22,Paris
60,Résidence du Pré,963,8.1,2023-05-22,Paris
61,Bradford Elysées - Astotel,2358,9.0,2023-05-22,Paris
62,SO Paris Hotel,3453,9.1,2023-05-22,Paris
63,Hotel de L'Empereur by Malone,2236,8.5,2023-05-22,Paris
64,Mercure Paris Montparnasse Pasteur,1484,8.0,2023-05-22,Paris
65,Best Western Premier Opéra Faubourg,1421,7.8,2023-05-22,Paris
66,Hotel Les Bains Paris,2658,8.9,2023-05-22,Paris
67,L'Adresse,1573,7.1,2023-05-22,Paris
68,Best Western Plus La Demeure,1586,8.2,2023-05-22,Paris
69,Hotel Opéra d'Antin,2090,7.8,2023-05-22,Paris
70,Jardins Eiffel,1733,8.4,2023-05-22,Paris
71,Hôtel La Canopée,1973,9.0,2023-05-22,Paris
72,Hotel de l'Aqueduc,908,7.2,2023-05-22,Paris
73,Best Western Nouvel Orléans Montparnasse,1122,7.7,2023-05-22,Paris
74,Hotel Andréa,1507,7.2,2023-05-22,Paris
75,Bel Oranger Gare de Lyon,1073,7.9,2023-05-22,Paris
76,Ibis Styles Paris Massena Olympiades,989,8.2,2023-05-22,Paris
77,Hipotel Paris Voltaire Bastille,907,7.1,2023-05-22,Paris
78,Hotel Eiffel Blomet,1577,8.7,2023-05-22,Paris
79,Hôtel Saint-Charles,1196,8.3,2023-05-22,Paris
80,Hotel Michelet Odeon,1402,7.7,2023-05-22,Paris
81,Hôtel Dame des Arts,2535,10,2023-05-22,Paris
82,Hôtel Le M,1679,8.0,2023-05-22,Paris
83,Hotel Residence Foch,1940,8.3,2023-05-22,Paris
84,Hôtel Le Lavoisier,1589,7.9,2023-05-22,Paris
85,Pullman Paris Tour Eiffel,3045,8.2,2023-05-22,Paris
86,Hôtel Perreyve,1322,7.9,2023-05-22,Paris
87,Graphik Montparnasse,1181,8.3,2023-05-22,Paris
88,citizenM Paris Champs-Élysées,2214,8.5,2023-05-22,Paris
89,Hôtel Harvey,1202,8.6,2023-05-22,Paris
90,TRIBE Paris Batignolles,1267,8.6,2023-05-22,Paris
91,Hôtel Aurore Paris Gare de Lyon,1109,7.9,2023-05-22,Paris
92,Pavillon Faubourg Saint-Germain &amp; Spa,3825,8.9,2023-05-22,Paris
93,Hôtel Maxim Quartier Latin,1567,8.2,2023-05-22,Paris
94,Timhotel Le Louvre,1247,7.5,2023-05-22,Paris
95,Hotel Palm - Astotel,1634,8.9,2023-05-22,Paris
96,Hotel Eiffel Seine,1641,8.1,2023-05-22,Paris
97,Le 123 Elysees - Astotel,2335,8.7,2023-05-22,Paris
98,Hotel Inn Design Paris Place d’Italie (ex Timhotel),1071,8.0,2023-05-22,Paris
99,Adagio Paris 19ème Cité de la Musique,969,7.7,2023-05-22,Paris
100,Nolinski Paris,4625,9.2,2023-05-22,Paris
101,Hôtel du Vieux Marais,1499,8.1,2023-05-22,Paris
102,Le Robinet d'Or,1375,8.8,2023-05-22,Paris
103,First Hotel Paris Tour Eiffel,1713,8.1,2023-05-22,Paris
104,Hôtel Rosalie,1639,8.6,2023-05-22,Paris
105,Marceau Champs-Elysées,1514,8.1,2023-05-22,Paris
106,Le Grand Hôtel de Normandie,1924,7.6,2023-05-22,Paris
107,Hôtel Brésil Opéra,1458,8.3,2023-05-22,Paris
108,Le Pavillon de la Reine &amp; Spa - Small Luxury Hotels of the World,4845,8.9,2023-05-22,Paris
109,Garden-Elysée,1819,8.5,2023-05-22,Paris
110,Hotel Saint Honore,1948,7.3,2023-05-22,Paris
111,Hotel Ares Eiffel,2030,8.3,2023-05-22,Paris
112,Hôtel Maxim Folies,1407,8.6,2023-05-22,Paris
113,Le 12 Hôtel,1961,9.0,2023-05-22,Paris
114,Hôtel Elixir,1956,7.7,2023-05-22,Paris
115,ibis Paris Gare De L'Est TGV,1385,7.4,2023-05-22,Paris
116,Le Pavillon des Lettres - Small Luxury Hotels of the World,2933,8.8,2023-05-22,Paris
117,Au Pacific Hotel,932,7.9,2023-05-22,Paris
118,Hôtel de Joséphine BONAPARTE,2759,9.2,2023-05-22,Paris
119,Prince de Conde,1450,7.9,2023-05-22,Paris
120,Edouard 7 Paris Opéra,3077,8.6,2023-05-22,Paris
121,"Hotel Litteraire Le Swann, BW Premier Collection",1725,8.4,2023-05-22,Paris
