,hotel,price,rating,start_date,city
0,Vincci Bit,3791,8.4,2023-05-29,Barcelona
1,Sonder DO Plaça Reial,4363,8.4,2023-05-29,Barcelona
2,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1621,8.5,2023-05-29,Barcelona
3,Ohla Eixample,2687,8.9,2023-05-29,Barcelona
4,Gran Hotel Havana by Escampa Hotels,1806,8.5,2023-05-29,Barcelona
5,Aparthotel Atenea Calabria,1557,8.2,2023-05-29,Barcelona
6,El Avenida Palace,1780,8.5,2023-05-29,Barcelona
7,Hotel Lloret Ramblas,1116,8.0,2023-05-29,Barcelona
8,Catalonia Plaza Catalunya,1896,8.5,2023-05-29,Barcelona
9,Onix Liceo,1273,8.3,2023-05-29,Barcelona
10,Praktik Garden,1390,8.2,2023-05-29,Barcelona
11,Onix Fira,1124,7.7,2023-05-29,Barcelona
12,Praktik Èssens,1954,9.2,2023-05-29,Barcelona
13,Catalonia Portal de l'Angel,1666,8.7,2023-05-29,Barcelona
14,Nobu Hotel Barcelona,2117,8.4,2023-05-29,Barcelona
15,Praktik Vinoteca,1440,8.6,2023-05-29,Barcelona
16,Catalonia Sagrada Familia,1246,8.2,2023-05-29,Barcelona
17,Duquesa de Cardona 4* Sup,2036,8.9,2023-05-29,Barcelona
18,Hotel Sant Agustí,1473,7.9,2023-05-29,Barcelona
19,Hostal Operaramblas,1316,8.6,2023-05-29,Barcelona
20,Catalonia Passeig de Gràcia 4* Sup,1846,9.0,2023-05-29,Barcelona
21,Axel Hotel Barcelona &amp; Urban Spa- Adults Only,1885,8.4,2023-05-29,Barcelona
22,Hotel Astoria,1356,8.5,2023-05-29,Barcelona
23,Catalonia Barcelona Plaza,1641,8.3,2023-05-29,Barcelona
24,Catalonia Ramblas 4* Sup,2046,8.3,2023-05-29,Barcelona
25,Duquesa Suites Barcelona,2001,8.7,2023-05-29,Barcelona
26,Catalonia Gracia,1176,8.4,2023-05-29,Barcelona
27,Praktik Bakery,1440,8.6,2023-05-29,Barcelona
28,Gallery Hotel,1943,8.9,2023-05-29,Barcelona
29,Catalonia Avinyo,1316,8.5,2023-05-29,Barcelona
30,Casa Elliot by Bondia Hotel Group,1630,8.8,2023-05-29,Barcelona
31,Praktik Rambla,1575,8.5,2023-05-29,Barcelona
32,Catalonia Magdalenes,1886,9.1,2023-05-29,Barcelona
33,Catalonia Catedral,1996,9.0,2023-05-29,Barcelona
34,"Hotel Granados 83, a Member of Design Hotels",1726,8.6,2023-05-29,Barcelona
35,Onix Rambla,1355,8.4,2023-05-29,Barcelona
36,Hotel Vilamarí,1221,8.1,2023-05-29,Barcelona
37,Catalonia Square 4* Sup,2106,9.0,2023-05-29,Barcelona
38,Catalonia Atenas,1276,8.1,2023-05-29,Barcelona
39,Catalonia Albeniz,1246,8.6,2023-05-29,Barcelona
40,Petit Palace Boqueria Garden,2076,8.2,2023-05-29,Barcelona
41,Catalonia Port,1756,8.6,2023-05-29,Barcelona
42,AC Hotel Diagonal L'Illa by Marriott,1830,8.6,2023-05-29,Barcelona
43,Hotel Balmes,1638,8.4,2023-05-29,Barcelona
44,Catalonia Gran Via BCN,1486,8.7,2023-05-29,Barcelona
45,"The Hoxton, Poblenou",2819,8.7,2023-05-29,Barcelona
46,Catalonia Roma,1176,8.1,2023-05-29,Barcelona
47,Hilton Barcelona,2165,7.9,2023-05-29,Barcelona
48,Suites Avenue,2078,9.0,2023-05-29,Barcelona
49,Hotel Barcelona Catedral,1976,8.6,2023-05-29,Barcelona
50,Hotel Casa Sagnier,2573,9.2,2023-05-29,Barcelona
51,Ofelias Hotel 4* Sup,1666,8.6,2023-05-29,Barcelona
52,Catalonia Rigoletto,1156,8.5,2023-05-29,Barcelona
53,Atenea Rekord Suites,1372,8.5,2023-05-29,Barcelona
54,Golden Hotel Barcelona,1495,8.4,2023-05-29,Barcelona
55,Chic &amp; Basic Velvet,1158,8.1,2023-05-29,Barcelona
56,Anima Apartments Sants,1116,8.3,2023-05-29,Barcelona
57,ICON Bcn,2146,8.9,2023-05-29,Barcelona
58,Park Hotel,2007,8.3,2023-05-29,Barcelona
59,BCN Urbaness Hotels Del Comte,1153,8.0,2023-05-29,Barcelona
60,Isabella's House,1640,8.7,2023-05-29,Barcelona
61,Roma Reial,678,7.4,2023-05-29,Barcelona
62,Sansi Pedralbes,2416,9.5,2023-05-29,Barcelona
63,Yomo Hostal BCN Port,1300,7.8,2023-05-29,Barcelona
64,Andante Hotel,1413,8.6,2023-05-29,Barcelona
65,Hotel Viladomat by Silken,1134,7.6,2023-05-29,Barcelona
66,Bonanova Suite,1314,8.5,2023-05-29,Barcelona
67,Hotel Best Auto Hogar,878,7.7,2023-05-29,Barcelona
68,Ilunion Auditori,1713,8.1,2023-05-29,Barcelona
69,Acacia Suite,1809,8.1,2023-05-29,Barcelona
70,Room Mate Pau,2230,9.2,2023-05-29,Barcelona
71,Hotel Via Augusta,1168,8.5,2023-05-29,Barcelona
72,Hotel &amp; Spa Villa Olimpica Suites,1229,8.0,2023-05-29,Barcelona
73,Condes de Barcelona,1698,8.8,2023-05-29,Barcelona
74,Ohla Barcelona,3412,8.9,2023-05-29,Barcelona
75,Barcelona Apartment Val,2259,8.1,2023-05-29,Barcelona
76,Exe Ramblas Boquería,1905,8.3,2023-05-29,Barcelona
77,The Moods Oasis,1347,8.7,2023-05-29,Barcelona
78,Ciutat Vella,1686,8.2,2023-05-29,Barcelona
79,Bcn Urbaness Hotels Gran Rosellon,1626,8.0,2023-05-29,Barcelona
80,Monument Hotel,3416,9.2,2023-05-29,Barcelona
81,W Barcelona,3081,8.4,2023-05-29,Barcelona
82,Novotel Barcelona City,1513,8.1,2023-05-29,Barcelona
83,Hotel Derby,1524,8.4,2023-05-29,Barcelona
84,Ilunion Bel-Art,1472,8.0,2023-05-29,Barcelona
85,Travelodge Barcelona Poblenou,1186,7.3,2023-05-29,Barcelona
86,"Hotel Bagués, a Small Luxury Hotel of the World",2577,8.7,2023-05-29,Barcelona
87,Hotel Alimara,1023,8.3,2023-05-29,Barcelona
88,Catalonia Barcelona 505,1106,8.0,2023-05-29,Barcelona
89,AC Hotel Victoria Suites by Marriott,1976,8.4,2023-05-29,Barcelona
90,"Claris Hotel &amp; Spa GL, a Small Luxury Hotel of the World",2194,8.4,2023-05-29,Barcelona
91,H10 Madison 4* Sup,2081,9.3,2023-05-29,Barcelona
92,ME Barcelona,3262,9.2,2023-05-29,Barcelona
93,Barcelona Apartment Aramunt,2019,7.6,2023-05-29,Barcelona
94,Ilunion Barcelona,2239,8.3,2023-05-29,Barcelona
95,Charmsuites Nou Rambla,1543,7.7,2023-05-29,Barcelona
96,Hotel Well and Come,1796,8.8,2023-05-29,Barcelona
97,Ilunion Les Corts Spa,1783,7.8,2023-05-29,Barcelona
98,Seventy Barcelona,1842,9.3,2023-05-29,Barcelona
99,The Moods Catedral Hostal Boutique,1529,8.6,2023-05-29,Barcelona
100,Fisa Rentals Ramblas Apartments,1762,8.4,2023-05-29,Barcelona
101,Silken Ramblas,1684,8.1,2023-05-29,Barcelona
102,Hotel Villa Emilia,1639,8.9,2023-05-29,Barcelona
103,Occidental Barcelona 1929,1566,9.0,2023-05-29,Barcelona
104,Ilunion Almirante,1672,7.3,2023-05-29,Barcelona
105,Inside Barcelona Apartments Esparteria,1603,8.6,2023-05-29,Barcelona
106,Barcelona Apartment Milà,2082,8.0,2023-05-29,Barcelona
107,Hotel Brummell,1817,9.1,2023-05-29,Barcelona
108,Barceló Sants,2016,8.7,2023-05-29,Barcelona
109,Acta Antibes,1080,8.6,2023-05-29,Barcelona
110,Unite Hostel Barcelona,1733,8.3,2023-05-29,Barcelona
111,Express by gaiarooms,1713,7.1,2023-05-29,Barcelona
112,AC Hotel Sants by Marriott,1491,8.2,2023-05-29,Barcelona
113,Oriente Atiram,1372,7.8,2023-05-29,Barcelona
114,Hotel Miramar Barcelona GL,2031,7.9,2023-05-29,Barcelona
115,Hotel 1898,2156,9.0,2023-05-29,Barcelona
116,Leonardo Hotel Barcelona Las Ramblas,1268,8.1,2023-05-29,Barcelona
117,Negresco Princess 4* Sup,1733,8.0,2023-05-29,Barcelona
118,Àmfores Boutique Guest House,1846,8.1,2023-05-29,Barcelona
119,Olivia Plaza Hotel,2692,9.3,2023-05-29,Barcelona
120,Acta Voraport,2130,8.7,2023-05-29,Barcelona
121,Silken Sant Gervasi,985,8.4,2023-05-29,Barcelona
122,Barceló Raval,1558,8.3,2023-05-29,Barcelona
123,NH Collection Barcelona Constanza,1557,8.5,2023-05-29,Barcelona
124,Vincci Gala,3610,8.7,2023-05-29,Barcelona
125,HCC Lugano,1014,8.6,2023-05-29,Barcelona
126,Alma Barcelona GL,3219,9.2,2023-05-29,Barcelona
127,Niu Barcelona Hotel,1716,8.3,2023-05-29,Barcelona
128,NH Barcelona Diagonal Center,1408,7.9,2023-05-29,Barcelona
129,"Hotel Gran Derby Suites, a Small Luxury Hotel of the World",1511,8.7,2023-05-29,Barcelona
130,Hilton Diagonal Mar Barcelona,2402,7.5,2023-05-29,Barcelona
131,Hotel Sagrada Familia,1084,8.3,2023-05-29,Barcelona
