,hotel,price,rating,start_date,city
0,Hôtel Saint-Pétersbourg Opéra &amp; Spa,1584,8.4,2023-05-29,Paris
1,Sonder L'Edmond Parc Monceau,2001,8.4,2023-05-29,Paris
2,Hotel Restaurant Au Boeuf Couronné,977,8.5,2023-05-29,Paris
3,Fauchon l'Hôtel Paris,4731,9.3,2023-05-29,Paris
4,Résidence Louvre - Bellan,2162,8.4,2023-05-29,Paris
5,Novotel Paris 20 Belleville,1335,8.3,2023-05-29,Paris
6,B&amp;B HOTEL Paris 17 Batignolles,843,7.9,2023-05-29,Paris
7,Novotel Paris Centre Tour Eiffel,1625,7.3,2023-05-29,Paris
8,Aparthotel Adagio Paris Nation,1121,8.4,2023-05-29,Paris
9,Hôtel d'Argenson,1097,8.4,2023-05-29,Paris
10,Best Western Aramis Saint Germain,1637,8.1,2023-05-29,Paris
11,Residhome Paris Gare de Lyon - Jacqueline de Romilly,1108,8.2,2023-05-29,Paris
12,Hôtel des Comédies,1397,8.2,2023-05-29,Paris
13,Appart'City Paris La Villette,789,7.1,2023-05-29,Paris
14,Residhome Paris Rosa Parks,666,8.3,2023-05-29,Paris
15,Hotel Minerve,1823,8.2,2023-05-29,Paris
16,Louisa Hotel Paris,956,7.5,2023-05-29,Paris
17,"Holiday Inn Paris Gare de l'Est, an IHG Hotel",1455,7.7,2023-05-29,Paris
18,citizenM Paris Gare de Lyon,1579,8.4,2023-05-29,Paris
19,Hotel Paix Republique,1208,8.1,2023-05-29,Paris
20,Hôtel A La Villa des Artistes,1309,8.6,2023-05-29,Paris
21,Hôtel Madison,3218,8.6,2023-05-29,Paris
22,Splendid Etoile,2579,8.8,2023-05-29,Paris
23,Hotel Terminus Lyon,1917,7.9,2023-05-29,Paris
24,Mercure Paris Montparnasse Pasteur,1452,8.0,2023-05-29,Paris
25,Hotel du Petit Moulin,3155,9.0,2023-05-29,Paris
26,Hotel de la Bretonnerie,1595,8.2,2023-05-29,Paris
27,Hôtel De l'Arcade,1643,8.3,2023-05-29,Paris
28,"Terrass"" Hotel",2103,8.8,2023-05-29,Paris
29,"The Hoxton, Paris",3056,8.7,2023-05-29,Paris
30,Résidence du Pré,935,8.1,2023-05-29,Paris
31,Floride-Etoile,1242,8.5,2023-05-29,Paris
32,Mercure Paris Bastille Marais,1225,8.0,2023-05-29,Paris
33,Mercure Paris Vaugirard Porte De Versailles,1372,8.2,2023-05-29,Paris
34,Hotel Park Lane Paris,1775,8.1,2023-05-29,Paris
35,Alba Opéra Hôtel,1322,8.2,2023-05-29,Paris
36,Best Western Premier Opéra Faubourg,1624,7.8,2023-05-29,Paris
37,Novotel Suites Paris Montreuil Vincennes,875,7.7,2023-05-29,Paris
38,Hotel France Albion,1226,8.6,2023-05-29,Paris
39,TRIBE Paris Batignolles,1141,8.6,2023-05-29,Paris
40,Arc de Triomphe Etoile,1408,8.2,2023-05-29,Paris
41,Hotel Mimosa Paris,925,7.5,2023-05-29,Paris
42,Korner Opera,1570,8.2,2023-05-29,Paris
43,Best Western Le Montmartre – Saint Pierre,1283,7.6,2023-05-29,Paris
44,9Confidentiel,3255,8.7,2023-05-29,Paris
45,Hotel Opéra d'Antin,2116,7.8,2023-05-29,Paris
46,Hotel Best Western Anjou Lafayette,1583,8.1,2023-05-29,Paris
47,Hôtel Le Lavoisier,1479,7.9,2023-05-29,Paris
48,Hotel Les Bains Paris,2658,8.9,2023-05-29,Paris
49,Sejours &amp; Affaires Paris-Davout,804,8.1,2023-05-29,Paris
50,Hotel Aida Opera,1459,8.2,2023-05-29,Paris
51,Pavillon Faubourg Saint-Germain &amp; Spa,3825,8.9,2023-05-29,Paris
52,Hotel Terminus Montparnasse,1603,7.4,2023-05-29,Paris
53,Hôtel Perreyve,1343,7.9,2023-05-29,Paris
54,Dream Hôtel Opéra &amp; Spa,1649,8.2,2023-05-29,Paris
55,Hôtel Dame des Arts,2815,10,2023-05-29,Paris
56,"Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel",1719,8.6,2023-05-29,Paris
57,Le Grand Hôtel de Normandie,2023,7.6,2023-05-29,Paris
58,Hôtel Bienvenue,1802,7.9,2023-05-29,Paris
59,Hôtel Le M,1679,8.0,2023-05-29,Paris
60,Jardins Eiffel,1747,8.4,2023-05-29,Paris
61,Saint Georges Lafayette,1070,7.8,2023-05-29,Paris
62,Relais12bis Bed &amp; Breakfast By Eiffel Tower,2596,9.8,2023-05-29,Paris
63,Super Studio 2P - BastilleSt Antoine 16,952,nan,2023-05-29,Paris
64,Hotel Campanile Paris-Bercy Village,769,7.9,2023-05-29,Paris
65,Hotel Inn Design Paris Place d’Italie (ex Timhotel),1147,8.0,2023-05-29,Paris
66,Mercure Paris Gare Montparnasse TGV,1473,7.7,2023-05-29,Paris
67,First Hotel Paris Tour Eiffel,1771,8.1,2023-05-29,Paris
68,Hôtel Albert 1er,1197,7.8,2023-05-29,Paris
69,Hôtel du Vieux Marais,1499,8.0,2023-05-29,Paris
70,Hotel Residence Foch,1986,8.3,2023-05-29,Paris
71,Hôtel Des Batignolles,1134,8.2,2023-05-29,Paris
72,Hôtel Le Fabe,1368,8.5,2023-05-29,Paris
73,Le Pavillon de la Reine &amp; Spa - Small Luxury Hotels of the World,4719,8.9,2023-05-29,Paris
74,"Hotel Litteraire Le Swann, BW Premier Collection",1725,8.4,2023-05-29,Paris
75,Hotel Beaugrenelle Tour Eiffel,1492,7.6,2023-05-29,Paris
76,citizenM Paris Champs-Élysées,2564,8.5,2023-05-29,Paris
77,Hôtel Brésil Opéra,1396,8.3,2023-05-29,Paris
78,Hotel Beausejour,1187,7.7,2023-05-29,Paris
79,Hôtel Maxim Quartier Latin,1787,8.2,2023-05-29,Paris
80,Hotel Ares Eiffel,2030,8.3,2023-05-29,Paris
81,Hotel Michelet Odeon,1433,7.7,2023-05-29,Paris
82,Mercure Paris Opera Grands Boulevards,1673,7.9,2023-05-29,Paris
83,Hôtel La Canopée,1933,9.0,2023-05-29,Paris
84,Best Western Plus La Demeure,1739,8.2,2023-05-29,Paris
85,Le Katorze Hôtel,1195,8.4,2023-05-29,Paris
86,Hotel Armoni Paris,1253,8.2,2023-05-29,Paris
87,L'Adresse,2423,7.1,2023-05-29,Paris
88,Nolinski Paris,5385,9.2,2023-05-29,Paris
89,Aparthotel Adagio Porte de Versailles,947,7.5,2023-05-29,Paris
90,Edouard 7 Paris Opéra,3077,8.6,2023-05-29,Paris
91,Hotel Petit Lafayette,1872,8.7,2023-05-29,Paris
92,SO Paris Hotel,4009,9.1,2023-05-29,Paris
93,Le Tsuba Hotel,2030,8.8,2023-05-29,Paris
94,Hôtel de Joséphine BONAPARTE,2951,9.2,2023-05-29,Paris
95,Au Pacific Hotel,944,7.9,2023-05-29,Paris
96,Jardin de Villiers,1148,8.1,2023-05-29,Paris
97,Appia La Fayette,1177,7.4,2023-05-29,Paris
98,Hotel des Grandes Ecoles,2472,8.7,2023-05-29,Paris
99,Maison Albar Hotels Le Pont-Neuf,3815,8.9,2023-05-29,Paris
100,Victoria Palace Hotel,2419,8.9,2023-05-29,Paris
101,Hotel des Grands Boulevards,2845,8.9,2023-05-29,Paris
102,Best Western Nouvel Orléans Montparnasse,1349,7.7,2023-05-29,Paris
103,Hôtel Elixir,1945,7.7,2023-05-29,Paris
104,Lautrec Opera,1471,7.1,2023-05-29,Paris
105,Garden-Elysée,1859,8.5,2023-05-29,Paris
106,Marceau Champs-Elysées,1605,8.1,2023-05-29,Paris
107,Hotel Bloum,1657,9.0,2023-05-29,Paris
108,Best Western Premier Kapital Opéra,1806,8.6,2023-05-29,Paris
109,Best Western Plus Hôtel Littéraire Marcel Aymé,1581,8.7,2023-05-29,Paris
110,Hotel Le Chat Noir,1449,7.9,2023-05-29,Paris
111,Hotel Eiffel Seine,1715,8.1,2023-05-29,Paris
112,Hotel Viator - Gare de Lyon,1303,7.9,2023-05-29,Paris
113,Hôtel Saint-Pétersbourg Opéra &amp; Spa,1584,8.4,2023-05-29,Paris
114,Hotel Richmond Gare du Nord,1086,7.0,2023-05-29,Paris
115,Hôtel Duo,3113,8.2,2023-05-29,Paris
116,My Home In Paris,1631,9.1,2023-05-29,Paris
117,Hotel Villa Romantic &amp; Spa,1651,9.0,2023-05-29,Paris
118,Hotel Lilas Blanc,2005,8.4,2023-05-29,Paris
119,Citadines Les Halles Paris,1589,7.9,2023-05-29,Paris
120,La Maison Gobert Paris Hotel Particulier,1788,9.2,2023-05-29,Paris
121,Hôtel du Square d'Anvers,1154,7.0,2023-05-29,Paris
122,Hipotel Paris Voltaire Bastille,1049,7.1,2023-05-29,Paris
