,hotel,price,rating,start_date,city
0,Catalonia Majórica,810,8.0,2023-05-22,Palma_de_Mallorca
1,Protur Naisa Palma Hotel,1461,8.9,2023-05-22,Palma_de_Mallorca
2,Abelux,556,7.8,2023-05-22,Palma_de_Mallorca
3,Hotel Saratoga,1397,8.7,2023-05-22,Palma_de_Mallorca
4,Palma Suites,1459,8.9,2023-05-22,Palma_de_Mallorca
5,HM Palma Blanc,1423,8.1,2023-05-22,Palma_de_Mallorca
6,Hotel Almudaina,1290,8.7,2023-05-22,Palma_de_Mallorca
7,HM Jaime III,1129,8.0,2023-05-22,Palma_de_Mallorca
8,Hotel Araxa - Adults Only,956,8.5,2023-05-22,Palma_de_Mallorca
9,Sercotel Hotel Zurbarán,780,8.2,2023-05-22,Palma_de_Mallorca
10,Mallorca Suites - Turismo de Interior,1340,8.9,2023-05-22,Palma_de_Mallorca
11,Hotel Joan Miró Museum,827,8.2,2023-05-22,Palma_de_Mallorca
12,HM Balanguera,1026,8.3,2023-05-22,Palma_de_Mallorca
13,Hesperia Ciudad de Mallorca,724,7.9,2023-05-22,Palma_de_Mallorca
14,Brondo Architect Hotel,1354,7.7,2023-05-22,Palma_de_Mallorca
15,ICON Rosetó,1463,8.8,2023-05-22,Palma_de_Mallorca
16,UR Palacio Avenida,955,7.1,2023-05-22,Palma_de_Mallorca
17,Portofino Mallorca,715,8.1,2023-05-22,Palma_de_Mallorca
18,GPRO Valparaiso Palace &amp; Spa,1234,7.9,2023-05-22,Palma_de_Mallorca
19,Hotel Can Alomar,2582,9.2,2023-05-22,Palma_de_Mallorca
20,AC Hotel Ciutat de Palma by Marriott,993,8.4,2023-05-22,Palma_de_Mallorca
21,Borne Suites - Turismo de Interior,1620,8.9,2023-05-22,Palma_de_Mallorca
22,Bordoy Continental Palma,853,8.8,2023-05-22,Palma_de_Mallorca
23,Hotel Palladium,809,8.1,2023-05-22,Palma_de_Mallorca
24,Eurostars Marivent,745,8.2,2023-05-22,Palma_de_Mallorca
25,"Hotel Palma Bellver , Affiliated by Meliá",1024,8.0,2023-05-22,Palma_de_Mallorca
26,Hotel Hostal Cuba,1615,8.6,2023-05-22,Palma_de_Mallorca
27,Nixe Palace,1457,8.4,2023-05-22,Palma_de_Mallorca
28,Es Princep - The Leading Hotels of the World,2823,9.2,2023-05-22,Palma_de_Mallorca
29,Borne Suites - Turismo de Interior,1620,8.9,2023-05-22,Palma_de_Mallorca
30,Melia Palma Bay,1189,8.3,2023-05-22,Palma_de_Mallorca
31,Sant Miquel Homes - Turismo de interior,995,8.7,2023-05-22,Palma_de_Mallorca
32,INNSiDE by Meliá Palma Center,1094,8.4,2023-05-22,Palma_de_Mallorca
33,Can Bordoy Grand House &amp; Garden,3703,9.1,2023-05-22,Palma_de_Mallorca
34,L´Aguila Suites - Turismo de Interior,1317,9.2,2023-05-22,Palma_de_Mallorca
35,Montmari - Turismo de Interior,1240,8.8,2023-05-22,Palma_de_Mallorca
36,Isla Mallorca &amp; Spa,848,8.4,2023-05-22,Palma_de_Mallorca
37,Palacio Ca Sa Galesa,3570,9.4,2023-05-22,Palma_de_Mallorca
38,Hotel Born,1500,8.8,2023-05-22,Palma_de_Mallorca
39,Apuntadores 8,1018,8.2,2023-05-22,Palma_de_Mallorca
40,Meliá Palma Marina,1273,8.1,2023-05-22,Palma_de_Mallorca
41,M House Hotel,1415,8.4,2023-05-22,Palma_de_Mallorca
42,INNSiDE by Meliá Palma Bosque,1181,8.4,2023-05-22,Palma_de_Mallorca
43,Summum Prime Boutique Hotel,2583,9.4,2023-05-22,Palma_de_Mallorca
44,Hotel Cappuccino - Palma,2906,9.3,2023-05-22,Palma_de_Mallorca
45,Hotel Basilica,1795,9.4,2023-05-22,Palma_de_Mallorca
46,Hotel Can Cirera,1643,9.4,2023-05-22,Palma_de_Mallorca
47,BQ Augusta Hotel,825,8.4,2023-05-22,Palma_de_Mallorca
48,BQ Belvedere Hotel,670,8.1,2023-05-22,Palma_de_Mallorca
49,Sant Jaume Design Hotel,2265,9.1,2023-05-22,Palma_de_Mallorca
50,AH Art Hotel Palma,1650,9.2,2023-05-22,Palma_de_Mallorca
51,The Boc Suites,1333,9.2,2023-05-22,Palma_de_Mallorca
52,Hotel Costa Azul,975,8.4,2023-05-22,Palma_de_Mallorca
53,Petit Palace Hotel Tres,1537,8.9,2023-05-22,Palma_de_Mallorca
54,L´Aguila Suites - Turismo de Interior,1317,9.2,2023-05-22,Palma_de_Mallorca
55,Hotel Victoria Gran Meliá,1434,8.6,2023-05-22,Palma_de_Mallorca
56,Hotel Ciutat Jardi,1220,8.4,2023-05-22,Palma_de_Mallorca
57,Fil Suites,961,9.1,2023-05-22,Palma_de_Mallorca
58,Hotel Calatrava,5116,9.1,2023-05-22,Palma_de_Mallorca
59,"Castillo Hotel Son Vida, a Luxury Collection Hotel, Mallorca - Adults Only",2699,8.9,2023-05-22,Palma_de_Mallorca
60,Montmari - Turismo de Interior,1240,8.8,2023-05-22,Palma_de_Mallorca
61,BO Hotel Palma,1491,9.1,2023-05-22,Palma_de_Mallorca
62,Hotel Can Cera,2714,9.5,2023-05-22,Palma_de_Mallorca
63,Sant Francesc Hotel Singular,3277,9.4,2023-05-22,Palma_de_Mallorca
64,Boutique Hotel Posada Terra Santa,1895,9.4,2023-05-22,Palma_de_Mallorca
65,Be Live Experience Costa Palma,909,7.7,2023-05-22,Palma_de_Mallorca
66,Hotel Amic Horizonte,565,7.2,2023-05-22,Palma_de_Mallorca
67,Casa Delmonte - Turismo de Interior,1286,9.8,2023-05-22,Palma_de_Mallorca
68,El Llorenc Parc de la Mar - Adults Only (+16),2980,9.2,2023-05-22,Palma_de_Mallorca
69,Hotel Antigua Palma - Casa Noble,2139,9.2,2023-05-22,Palma_de_Mallorca
70,Hotel San Lorenzo - Adults Only,1795,8.9,2023-05-22,Palma_de_Mallorca
71,Vintage Palma Palace Apartments TI,1049,8.0,2023-05-22,Palma_de_Mallorca
72,Can Savella - Turismo de Interior,1107,8.3,2023-05-22,Palma_de_Mallorca
73,Portixol Hotel &amp; Restaurant,3043,9.1,2023-05-22,Palma_de_Mallorca
74,Sheraton Mallorca Arabella Golf Hotel,2105,8.5,2023-05-22,Palma_de_Mallorca
75,Samaritana Suites,1670,9.5,2023-05-22,Palma_de_Mallorca
