,hotel,price,rating,start_date,city
0,UCPA SPORT STATION HOSTEL PARIS,690,8.0,2023-05-29,Paris
1,Sonder L'Edmond Parc Monceau,2001,8.4,2023-05-29,Paris
2,Novotel Paris Porte Versailles,1604,8.5,2023-05-29,Paris
3,Fauchon l'Hôtel Paris,4731,9.3,2023-05-29,Paris
4,Novotel Paris 20 Belleville,1335,8.3,2023-05-29,Paris
5,Residhome Paris Gare de Lyon - Jacqueline de Romilly,1108,8.2,2023-05-29,Paris
6,Hotel Le 10 BIS,1590,8.8,2023-05-29,Paris
7,Novotel Paris Centre Tour Eiffel,1625,7.3,2023-05-29,Paris
8,Hotel des Bains,770,7.6,2023-05-29,Paris
9,Hôtel Korner Etoile,1256,8.3,2023-05-29,Paris
10,Aparthotel Adagio Paris Nation,1121,8.4,2023-05-29,Paris
11,Best Western Aramis Saint Germain,1637,8.1,2023-05-29,Paris
12,Hôtel des Comédies,1397,8.2,2023-05-29,Paris
13,B&amp;B HOTEL Paris 17 Batignolles,843,7.9,2023-05-29,Paris
14,The Westin Paris - Vendôme,3419,7.2,2023-05-29,Paris
15,Hôtel A La Villa des Artistes,1309,8.6,2023-05-29,Paris
16,Appart'City Paris La Villette,789,7.1,2023-05-29,Paris
17,"Holiday Inn Paris Gare de l'Est, an IHG Hotel",1455,7.7,2023-05-29,Paris
18,Hotel Minerve,1823,8.2,2023-05-29,Paris
19,Best Western Plus Quartier Latin Pantheon,1517,7.8,2023-05-29,Paris
20,Louisa Hotel Paris,1154,7.5,2023-05-29,Paris
21,Hôtel De l'Arcade,1643,8.3,2023-05-29,Paris
22,Hotel de la Bretonnerie,1595,8.2,2023-05-29,Paris
23,Hotel Paix Republique,1208,8.2,2023-05-29,Paris
24,Hôtel d'Argenson,1201,8.4,2023-05-29,Paris
25,Mercure Paris Vaugirard Porte De Versailles,1372,8.2,2023-05-29,Paris
26,citizenM Paris Gare de Lyon,1579,8.4,2023-05-29,Paris
27,Hôtel Madison,3218,8.6,2023-05-29,Paris
28,Splendid Etoile,2579,8.8,2023-05-29,Paris
29,"The Hoxton, Paris",3056,8.7,2023-05-29,Paris
30,Appart'City Paris La Villette,789,7.1,2023-05-29,Paris
31,Hotel Terminus Lyon,1917,7.9,2023-05-29,Paris
32,Mercure Paris Bastille Marais,1225,8.0,2023-05-29,Paris
