,hotel,price,rating,start_date,city
0,Vincci Bit,3791,8.4,2023-05-29,Barcelona
1,Sonder DO Plaça Reial,4226,8.4,2023-05-29,Barcelona
2,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1621,8.5,2023-05-29,Barcelona
3,Ohla Eixample,2432,8.9,2023-05-29,Barcelona
4,Gran Hotel Havana by Escampa Hotels,1806,8.5,2023-05-29,Barcelona
5,Aparthotel Atenea Calabria,1557,8.2,2023-05-29,Barcelona
6,Hotel Lloret Ramblas,1116,8.0,2023-05-29,Barcelona
7,Nobu Hotel Barcelona,2114,8.4,2023-05-29,Barcelona
8,El Avenida Palace,1773,8.5,2023-05-29,Barcelona
9,Catalonia Plaza Catalunya,1896,8.5,2023-05-29,Barcelona
10,Anima Apartments Sants,1116,8.3,2023-05-29,Barcelona
11,Catalonia Portal de l'Angel,1666,8.7,2023-05-29,Barcelona
12,Onix Liceo,1273,8.3,2023-05-29,Barcelona
13,Praktik Èssens,1954,9.2,2023-05-29,Barcelona
14,Catalonia Barcelona Plaza,1641,8.3,2023-05-29,Barcelona
15,Catalonia Sagrada Familia,1246,8.2,2023-05-29,Barcelona
16,Duquesa de Cardona 4* Sup,2036,8.9,2023-05-29,Barcelona
17,Hotel Sant Agustí,1473,7.9,2023-05-29,Barcelona
18,Onix Fira,1124,7.7,2023-05-29,Barcelona
19,Praktik Garden,1390,8.2,2023-05-29,Barcelona
20,Catalonia Magdalenes,1886,9.1,2023-05-29,Barcelona
21,Catalonia Passeig de Gràcia 4* Sup,1846,9.0,2023-05-29,Barcelona
22,Catalonia Catedral,1996,9.0,2023-05-29,Barcelona
23,Hotel Astoria,1356,8.5,2023-05-29,Barcelona
24,Catalonia Ramblas 4* Sup,2046,8.3,2023-05-29,Barcelona
25,Duquesa Suites Barcelona,2001,8.7,2023-05-29,Barcelona
26,Catalonia Avinyo,1346,8.5,2023-05-29,Barcelona
27,Praktik Bakery,1440,8.6,2023-05-29,Barcelona
28,Axel Hotel Barcelona &amp; Urban Spa- Adults Only,1996,8.4,2023-05-29,Barcelona
29,Catalonia Gracia,1176,8.4,2023-05-29,Barcelona
30,Suites Avenue,2108,9.0,2023-05-29,Barcelona
31,Catalonia Square 4* Sup,2106,9.0,2023-05-29,Barcelona
32,Hotel Vilamarí,1221,8.1,2023-05-29,Barcelona
33,Gaudi Hotel,2066,8.2,2023-05-29,Barcelona
34,Onix Rambla,1355,8.4,2023-05-29,Barcelona
35,Catalonia Atenas,1276,8.1,2023-05-29,Barcelona
36,Isabella's House,1640,8.7,2023-05-29,Barcelona
37,Catalonia Port,1756,8.6,2023-05-29,Barcelona
38,Catalonia Albeniz,1246,8.6,2023-05-29,Barcelona
39,AC Hotel Diagonal L'Illa by Marriott,1830,8.6,2023-05-29,Barcelona
40,Petit Palace Boqueria Garden,2194,8.2,2023-05-29,Barcelona
41,Hotel Balmes,1638,8.4,2023-05-29,Barcelona
42,Catalonia Gran Via BCN,1486,8.7,2023-05-29,Barcelona
43,"The Hoxton, Poblenou",2879,8.7,2023-05-29,Barcelona
44,Catalonia Roma,1176,8.1,2023-05-29,Barcelona
45,Anima Apartments Sants,1116,8.3,2023-05-29,Barcelona
46,Andante Hotel,1413,8.6,2023-05-29,Barcelona
47,Hotel Barcelona Catedral,1976,8.6,2023-05-29,Barcelona
48,Hotel Casa Sagnier,2533,9.2,2023-05-29,Barcelona
49,Ofelias Hotel 4* Sup,1640,8.6,2023-05-29,Barcelona
50,Sansi Pedralbes,2416,9.5,2023-05-29,Barcelona
51,Catalonia Rigoletto,1156,8.5,2023-05-29,Barcelona
52,Hesperia Barcelona Barri Gòtic,1408,8.0,2023-05-29,Barcelona
53,Catalonia Barcelona 505,1106,7.9,2023-05-29,Barcelona
54,Golden Hotel Barcelona,1495,8.4,2023-05-29,Barcelona
55,Bonanova Suite,1294,8.5,2023-05-29,Barcelona
56,ICON Bcn,2149,8.9,2023-05-29,Barcelona
57,Park Hotel,2007,8.3,2023-05-29,Barcelona
58,Isabella's House,1640,8.7,2023-05-29,Barcelona
59,Hotel Best Auto Hogar,864,7.7,2023-05-29,Barcelona
60,Condes de Barcelona,1698,8.9,2023-05-29,Barcelona
61,Acacia Suite,1809,8.1,2023-05-29,Barcelona
62,Ohla Barcelona,3759,8.9,2023-05-29,Barcelona
63,W Barcelona,3081,8.4,2023-05-29,Barcelona
64,Hotel Viladomat by Silken,1134,7.6,2023-05-29,Barcelona
65,Ciutat Vella,1736,8.2,2023-05-29,Barcelona
66,Exe Ramblas Boquería,1939,8.3,2023-05-29,Barcelona
67,BCN Urbaness Hotels Del Comte,1188,8.0,2023-05-29,Barcelona
68,Ilunion Auditori,1713,8.1,2023-05-29,Barcelona
