,hotel,price,rating,start_date,city
0,Modern Lisbon Apartments by SoulPlaces,1471,9.1,2023-05-08,Lisboa
1,Star inn Lisbon Airport,864,8.6,2023-05-08,Lisboa
2,Jupiter Lisboa Hotel,1014,8.7,2023-05-08,Lisboa
3,TURIM Alameda Hotel,758,8.1,2023-05-08,Lisboa
4,Prime Lisbon - Sao Paulo 5,944,8.3,2023-05-08,Lisboa
5,Ibis Styles Lisboa Centro Marquês de Pombal,783,8.2,2023-05-08,Lisboa
6,Moxy Lisboa Oriente,738,8.5,2023-05-08,Lisboa
7,Hotel 3K Madrid,618,7.4,2023-05-08,Lisboa
8,HF Fenix Garden,884,8.6,2023-05-08,Lisboa
9,GuestHouse Pena,336,7.4,2023-05-08,Lisboa
10,54 São Paulo - Exclusive Apartment Hotel,1022,9.1,2023-05-08,Lisboa
11,Memmo Príncipe Real - Design Hotels,2344,9.0,2023-05-08,Lisboa
12,Montecarmo12,1062,8.1,2023-05-08,Lisboa
13,54 Santa Catarina Apartments,1137,9.3,2023-05-08,Lisboa
14,Moxy Lisbon City,1050,8.6,2023-05-08,Lisboa
15,TURIM Boulevard Hotel,1695,8.6,2023-05-08,Lisboa
16,São Vicente Alfama Hotel by TRIUS Hotels,1624,9.4,2023-05-08,Lisboa
17,Bairro Alto Hotel,2874,9.2,2023-05-08,Lisboa
18,HF Fenix Music,1056,8.7,2023-05-08,Lisboa
19,HF Fenix Urban,917,8.1,2023-05-08,Lisboa
20,Cais Urban Lodge,834,8.9,2023-05-08,Lisboa
21,HF Fenix Lisboa,1042,8.2,2023-05-08,Lisboa
22,Gulbenkian Gardens,637,8.5,2023-05-08,Lisboa
23,Lisboa Pessoa Hotel,1509,9.0,2023-05-08,Lisboa
24,SantoSweethome 1,636,8.5,2023-05-08,Lisboa
25,RENT4REST LISBON DOWNTOWN TINY STUDIO Apartments,759,7.9,2023-05-08,Lisboa
26,Lisbon Cheese &amp; Wine Suites,1132,8.6,2023-05-08,Lisboa
