,hotel,price,rating,start_date,city
0,Family Residence,816,8.0,2023-05-08,Paris
1,Sonder L'Edmond Parc Monceau,1602,8.4,2023-05-08,Paris
2,UCPA SPORT STATION HOSTEL PARIS,726,8.0,2023-05-08,Paris
3,Novotel Paris Porte Versailles,1316,8.5,2023-05-08,Paris
4,Lodge In,780,6.6,2023-05-08,Paris
5,Fauchon l'Hôtel Paris,4676,9.3,2023-05-08,Paris
6,Best Western Aramis Saint Germain,1367,8.1,2023-05-08,Paris
7,Hotel Le 10 BIS,1654,8.8,2023-05-08,Paris
8,Residhome Paris Gare de Lyon - Jacqueline de Romilly,983,8.2,2023-05-08,Paris
9,Aparthotel Adagio Paris Nation,1062,8.4,2023-05-08,Paris
10,Hotel du Petit Moulin,2333,9.0,2023-05-08,Paris
11,Le Méridien Etoile,1430,6.9,2023-05-08,Paris
12,Odalys City Paris XVII,536,7.6,2023-05-08,Paris
13,Hôtel des Comédies,1397,8.2,2023-05-08,Paris
14,citizenM Paris Gare de Lyon,1329,8.4,2023-05-08,Paris
15,Pere Lachaise Apartment,1250,8.6,2023-05-08,Paris
16,Novotel Suites Paris Montreuil Vincennes,828,7.7,2023-05-08,Paris
17,Korner Opera,1457,8.2,2023-05-08,Paris
18,Splendid Etoile,2159,8.8,2023-05-08,Paris
19,Hôtel Dame des Arts,2390,10,2023-05-08,Paris
20,Graphik Montparnasse,992,8.3,2023-05-08,Paris
21,citizenM Paris Champs-Élysées,1929,8.5,2023-05-08,Paris
22,Mercure Paris Alesia,1120,8.5,2023-05-08,Paris
23,Louisa Hotel Paris,1154,7.5,2023-05-08,Paris
24,Hotel Armoni Paris,963,8.2,2023-05-08,Paris
25,Bonsoir Madame,1979,8.9,2023-05-08,Paris
26,Austin's Saint Lazare Hotel,2429,8.1,2023-05-08,Paris
27,Hotel Terminus Montparnasse,1195,7.4,2023-05-08,Paris
28,Hôtel Le M,1349,8.0,2023-05-08,Paris
29,Hotel Abbatial Saint Germain,1583,8.4,2023-05-08,Paris
30,Arc de Triomphe Etoile,1368,8.2,2023-05-08,Paris
31,Hôtel d'Argenson,1204,8.4,2023-05-08,Paris
32,SO Paris Hotel,3255,9.1,2023-05-08,Paris
33,"The Hoxton, Paris",3076,8.7,2023-05-08,Paris
34,Appartement paris Trocadero - Passy,729,nan,2023-05-08,Paris
35,Mercure Paris Vaugirard Porte De Versailles,1236,8.2,2023-05-08,Paris
36,Absolute Hotel Paris République,800,7.1,2023-05-08,Paris
37,3H Paris Marais Hôtel,1763,8.3,2023-05-08,Paris
38,Hôtel Duo,2513,8.2,2023-05-08,Paris
39,Hôtel Bedford,1835,8.3,2023-05-08,Paris
40,Hotel de l'Aqueduc,888,7.2,2023-05-08,Paris
41,Hotel Park Lane Paris,1475,8.1,2023-05-08,Paris
42,Residhome Paris Rosa Parks,704,8.3,2023-05-08,Paris
