,hotel,price,rating,start_date,city
0,Protur Naisa Palma Hotel,1496,8.9,2023-05-29,Palma_de_Mallorca
1,Catalonia Majórica,860,8.0,2023-05-29,Palma_de_Mallorca
2,HM Jaime III,972,8.0,2023-05-29,Palma_de_Mallorca
3,Abelux,638,7.8,2023-05-29,Palma_de_Mallorca
4,HM Palma Blanc,1465,8.1,2023-05-29,Palma_de_Mallorca
5,Hotel Colon,624,7.4,2023-05-29,Palma_de_Mallorca
6,Hotel Araxa - Adults Only,956,8.5,2023-05-29,Palma_de_Mallorca
7,HM Balanguera,978,8.3,2023-05-29,Palma_de_Mallorca
8,Hotel Joan Miró Museum,854,8.2,2023-05-29,Palma_de_Mallorca
9,Hotel Saratoga,2436,8.7,2023-05-29,Palma_de_Mallorca
10,Sercotel Hotel Zurbarán,844,8.2,2023-05-29,Palma_de_Mallorca
11,UR Palacio Avenida,995,7.1,2023-05-29,Palma_de_Mallorca
12,Palma Suites,1478,8.9,2023-05-29,Palma_de_Mallorca
13,Apuntadores 8,720,8.2,2023-05-29,Palma_de_Mallorca
14,Mallorca Suites - Turismo de Interior,1340,8.9,2023-05-29,Palma_de_Mallorca
15,ICON Rosetó,1813,8.8,2023-05-29,Palma_de_Mallorca
16,Bordoy Continental Palma,879,8.8,2023-05-29,Palma_de_Mallorca
17,GPRO Valparaiso Palace &amp; Spa,1640,7.9,2023-05-29,Palma_de_Mallorca
18,Borne Suites - Turismo de Interior,1677,8.9,2023-05-29,Palma_de_Mallorca
19,Hotel Can Alomar,2635,9.2,2023-05-29,Palma_de_Mallorca
20,Hotel Calatrava,2529,9.1,2023-05-29,Palma_de_Mallorca
21,Hotel Hostal Cuba,1615,8.6,2023-05-29,Palma_de_Mallorca
22,L´Aguila Suites - Turismo de Interior,1341,9.2,2023-05-29,Palma_de_Mallorca
23,"Hotel Palma Bellver , Affiliated by Meliá",1082,8.0,2023-05-29,Palma_de_Mallorca
24,Hotel Palladium,833,8.1,2023-05-29,Palma_de_Mallorca
25,INNSiDE by Meliá Palma Center,1106,8.4,2023-05-29,Palma_de_Mallorca
26,Montmari - Turismo de Interior,1276,8.8,2023-05-29,Palma_de_Mallorca
27,Can Bordoy Grand House &amp; Garden,3833,9.1,2023-05-29,Palma_de_Mallorca
28,Sant Miquel Homes - Turismo de interior,1103,8.7,2023-05-29,Palma_de_Mallorca
29,Eurostars Marivent,771,8.2,2023-05-29,Palma_de_Mallorca
30,Isla Mallorca &amp; Spa,947,8.4,2023-05-29,Palma_de_Mallorca
31,Meliá Palma Marina,1223,8.1,2023-05-29,Palma_de_Mallorca
32,Palacio Ca Sa Galesa,3689,9.4,2023-05-29,Palma_de_Mallorca
33,Hotel Born,1500,8.8,2023-05-29,Palma_de_Mallorca
34,INNSiDE by Meliá Palma Bosque,1100,8.4,2023-05-29,Palma_de_Mallorca
35,Sheraton Mallorca Arabella Golf Hotel,2213,8.5,2023-05-29,Palma_de_Mallorca
36,Summum Prime Boutique Hotel,2523,9.4,2023-05-29,Palma_de_Mallorca
37,Hotel Cappuccino - Palma,2846,9.3,2023-05-29,Palma_de_Mallorca
38,Hotel Basilica,1853,9.4,2023-05-29,Palma_de_Mallorca
39,Hesperia Ciudad de Mallorca,781,7.9,2023-05-29,Palma_de_Mallorca
